 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_Light_2 | -5.81963e-05 / 5.81963e-05 | -0.000309582 / 0.000309582 | -4.4154e-05 / 4.4154e-05 | -0.014971 / 0.014971 | -0.000436656 / 0.000436656 | 1.49813e-05 / -1.49813e-05 | 0.000665697 / -0.000665697 | -0.00207119 / 0.00207119 | 0.000349245 / -0.000349245 | -0.000188814 / 0.000188814 | -5.75571e-05 / 5.75571e-05 |
 | bTagSF_eigenvars_Light_3 | -1.75707e-06 / 1.75707e-06 | 9.92847e-05 / -9.92847e-05 | 2.78642e-05 / -2.78642e-05 | -0.00745678 / 0.00745678 | -0.000295512 / 0.000295512 | -4.34514e-05 / 4.34514e-05 | -0.000146441 / 0.000146441 | -0.00037477 / 0.00037477 | -6.45962e-05 / 6.45962e-05 | -0.000278111 / 0.000278111 | -4.87268e-05 / 4.87268e-05 |
 | EG_RESOLUTION_ALL | 0.000449463 / -0.000449393 | 0.00112253 / -0.00112255 | 4.31584e-05 / -4.31419e-05 | 1.16492e-05 / -1.16018e-05 | 0.000781476 / -0.000781508 | -9.13155e-06 / 9.13684e-06 | -0.00825483 / 0.00825479 | -0.0332137 / 0.0332137 | 1.30742e-05 / -1.30744e-05 | 0.00125654 / -0.00125649 | -0.00171635 / 0.00171636 |
 | EG_SCALE_ALL | 0.000303499 / -0.000303522 | 0.00226609 / -0.00226601 | 0.00139022 / -0.0013902 | 9.28723e-06 / -9.23975e-06 | 0.00168555 / -0.00168558 | -5.01863e-05 / 5.01916e-05 | -0.0204493 / 0.0204492 | 0 / 0 | 0.0045223 / -0.0045223 | 0.000681809 / -0.00068176 | -0.00189232 / 0.00189233 |
 | GlobalReduction_JET_BJES_Response | 0.00779827 / -0.0077982 | 0.00591184 / -0.00591186 | 0.0081318 / -0.00813179 | -2.38547e-05 / 2.39021e-05 | 0.0144904 / -0.0144904 | 0.0136092 / -0.0136092 | 0.0183458 / -0.0183458 | 0.000960393 / -0.000960393 | 0.00405735 / -0.00405735 | 0.0160859 / -0.0160858 | 0.00712814 / -0.00712814 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.0104985 / -0.0104985 | 0.0184423 / -0.0184423 | 0.0110014 / -0.0110015 | 0.0609503 / -0.0609503 | 0.0227474 / -0.0227474 | 0.0148947 / -0.0148947 | 0.0293523 / -0.0293524 | 0.0224444 / -0.0224444 | 0.00262333 / -0.00262333 | 0.0193299 / -0.0193299 | 0.0192364 / -0.0192364 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00249177 / 0.00249184 | -0.00437635 / 0.00437633 | -0.00282489 / 0.00282491 | 3.8517e-05 / -3.85434e-05 | -0.00515911 / 0.00515908 | -0.00458494 / 0.00458494 | -0.0123623 / 0.0123623 | 0.000775589 / -0.000775589 | -0.00171935 / 0.00171935 | -0.00409672 / 0.00409677 | -0.003814 / 0.003814 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000607893 / -0.000607916 | 0.000630274 / -0.000630299 | 0.00125145 / -0.00125143 | 3.15048e-05 / -3.15312e-05 | 0.00121955 / -0.0012195 | 0.00119691 / -0.0011969 | -7.35404e-06 / 7.31934e-06 | -0.000347491 / 0.000347491 | -4.1243e-05 / 4.12428e-05 | 0.00189635 / -0.00189636 | -0.00104785 / 0.00104785 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000247053 / 0.000247029 | 0.00112603 / -0.00112605 | -0.000939358 / 0.000939374 | 2.02853e-05 / -2.02378e-05 | -0.000171012 / 0.00017098 | -0.000656579 / 0.000656584 | 7.87455e-06 / -7.82994e-06 | 0.000365677 / -0.000365677 | -3.39483e-05 / 3.39481e-05 | 0.00113302 / -0.00113304 | -0.00238052 / 0.00238045 |
 | GlobalReduction_JET_EffectiveNP_5 | 7.10518e-06 / -7.1284e-06 | -6.19778e-06 / 6.17292e-06 | 5.09316e-05 / -5.09151e-05 | -5.09439e-05 / 5.09914e-05 | -0.000282751 / 0.000282719 | -2.51737e-05 / 2.5179e-05 | -3.54689e-06 / 3.59151e-06 | -0.000463977 / 0.000463977 | -0.000173894 / 0.000173893 | -1.45827e-05 / 1.45697e-05 | 0.000442842 / -0.000442839 |
