 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_1 | 4.94648e-05 / -4.94648e-05 | 5.07557e-06 / -5.07557e-06 | 0.000128678 / -0.000128678 | 9.05061e-05 / -9.05062e-05 | -0.00437411 / 0.004374 | -1.35123e-05 / 1.35123e-05 | 5.72589e-05 / -5.72589e-05 | -0.000258806 / 0.000258806 | -0.00101593 / 0.00101592 | -0.000153468 / 0.000153467 | 0.000484363 / -0.000484364 |
 | bTagSF_eigenvars_C_2 | -2.97246e-05 / 2.97246e-05 | -7.63043e-06 / 7.63043e-06 | -0.000150107 / 0.000150107 | 0.000326102 / -0.000326103 | 0.00103458 / -0.00103458 | 3.89861e-06 / -3.89861e-06 | -1.63046e-05 / 1.63046e-05 | 0.000385637 / -0.000385638 | 4.90662e-05 / -4.90662e-05 | 4.2311e-05 / -4.2311e-05 | 0.000225989 / -0.000225989 |
 | bTagSF_eigenvars_C_3 | 1.40669e-05 / -1.40669e-05 | -5.14462e-08 / 5.14462e-08 | 3.04383e-05 / -3.04383e-05 | -3.00807e-05 / 3.00807e-05 | -0.000370996 / 0.000370995 | -5.93887e-06 / 5.93887e-06 | 5.81697e-06 / -5.81697e-06 | 2.90533e-05 / -2.90533e-05 | -0.000102048 / 0.000102048 | 1.97668e-05 / -1.97668e-05 | -0.000258223 / 0.000258222 |
 | bTagSF_eigenvars_Light_0 | 0.000264015 / -0.000264014 | 0.000754206 / -0.000754193 | 0.000948361 / -0.000948341 | -0.121923 / 0.122097 | -0.00190894 / 0.00190902 | -0.000990974 / 0.000990996 | 0.000310154 / -0.000310152 | -0.0121334 / 0.0121366 | -0.00630455 / 0.00630543 | 0.00195163 / -0.00195154 | -0.000494246 / 0.000494252 |
 | bTagSF_eigenvars_Light_1 | 0.000113409 / -0.000113409 | -0.000124719 / 0.000124718 | -1.68253e-05 / 1.68253e-05 | 0.004561 / -0.00456114 | 0.000176077 / -0.000176077 | 0.000413165 / -0.000413166 | -4.21175e-05 / 4.21174e-05 | 0.00199774 / -0.00199777 | 0.00041895 / -0.000418951 | 5.5422e-05 / -5.5422e-05 | 0.00019376 / -0.000193761 |
 | bTagSF_eigenvars_Light_2 | -5.65235e-05 / 5.65235e-05 | 4.78035e-05 / -4.78035e-05 | -2.97898e-05 / 2.97898e-05 | -0.00690589 / 0.00690555 | -0.000317068 / 0.000317068 | -0.000148483 / 0.000148482 | 4.86557e-05 / -4.86557e-05 | 0.00106275 / -0.00106275 | -1.36097e-05 / 1.36097e-05 | -7.02833e-07 / 7.02833e-07 | 7.69152e-06 / -7.69152e-06 |
 | bTagSF_eigenvars_Light_3 | 2.53148e-05 / -2.53148e-05 | -3.65839e-06 / 3.65839e-06 | 3.48214e-05 / -3.48214e-05 | -0.00396908 / 0.00396898 | 1.34682e-05 / -1.34682e-05 | 5.59152e-05 / -5.59152e-05 | -3.89468e-06 / 3.89468e-06 | -0.000675614 / 0.000675611 | -0.000160571 / 0.000160571 | -7.51665e-05 / 7.51664e-05 | -3.66774e-05 / 3.66774e-05 |
 | EG_RESOLUTION_ALL | -0.00113358 / 0.00113358 | 0.000227511 / -0.000227563 | -0.000151708 / 0.000151699 | 0.00353215 / -0.0035322 | -0.00213423 / 0.00213424 | -0.00456213 / 0.00456214 | 0.000364145 / -0.000364127 | 0.000780775 / -0.000780757 | -0.00188735 / 0.00188731 | -0.000372972 / 0.000372974 | 0.000122134 / -0.000122131 |
 | EG_SCALE_ALL | -0.000810364 / 0.000810373 | -6.26347e-05 / 6.26574e-05 | 0.00115569 / -0.00115571 | -0.0001525 / 0.000152477 | -0.000765104 / 0.000765123 | 0.000532399 / -0.000532423 | 0.00419936 / -0.00419948 | 0.00102673 / -0.00102672 | 0.00117725 / -0.00117721 | 0.00341118 / -0.00341126 | -9.24836e-05 / 9.2486e-05 |
 | GlobalReduction_JET_BJES_Response | 0.000331048 / -0.000331042 | -0.00230702 / 0.00230703 | -0.00278012 / 0.00278005 | 2.57592e-08 / 2.64501e-08 | 0.0129492 / -0.0129504 | 0.00158836 / -0.0015884 | 0.00186982 / -0.00186984 | 1.51331e-05 / -1.51139e-05 | -0.00255617 / 0.00255609 | 0.00319609 / -0.00319616 | 0.0153109 / -0.0153127 |
 | GlobalReduction_JET_EffectiveNP_1 | -0.00129125 / 0.00129123 | -0.00109702 / 0.00109703 | -0.00164191 / 0.00164186 | 0.0367809 / -0.0368022 | 0.0122394 / -0.0122419 | 0.00126346 / -0.00126344 | 0.00131822 / -0.00131832 | 0.000610319 / -0.000610367 | 0.000902023 / -0.00090199 | 0.00240968 / -0.00240977 | 0.0152201 / -0.0152238 |
 | GlobalReduction_JET_EffectiveNP_2 | 0.00010964 / -0.000109633 | 0.00072143 / -0.000721477 | 0.00060601 / -0.00060602 | -0.000802321 / 0.000802297 | -0.000803683 / 0.000803704 | 0.000359011 / -0.000359032 | 0.000321154 / -0.00032114 | 1.61208e-07 / -1.42354e-07 | -0.000433414 / 0.00043338 | -2.56909e-05 / 2.56931e-05 | -0.00596312 / 0.00596302 |
 | GlobalReduction_JET_EffectiveNP_3 | -0.0003875 / 0.000387506 | -0.000427408 / 0.000427431 | -0.000271198 / 0.000271256 | 0.000318338 / -0.00031836 | 0.000623 / -0.000623077 | 0.000273268 / -0.000273288 | -0.00019066 / 0.000190602 | -2.25849e-05 / 2.26034e-05 | 0.000333912 / -0.000333945 | -4.04036e-06 / 4.04255e-06 | -1.29792e-05 / 1.29817e-05 |
 | GlobalReduction_JET_EffectiveNP_4 | -2.5085e-05 / 2.50917e-05 | 0.000222461 / -0.000222437 | 0.000114273 / -0.000114282 | 7.20255e-06 / -7.2251e-06 | -0.000484975 / 0.000484894 | 1.53175e-07 / -1.74475e-07 | 0.000188952 / -0.000188938 | 7.15032e-07 / -7.57084e-07 | -0.00043396 / 0.000434006 | 3.63156e-05 / -3.63134e-05 | 4.57068e-05 / -4.57043e-05 |
 | GlobalReduction_JET_EffectiveNP_5 | -8.96814e-06 / 8.97496e-06 | -5.13224e-06 / 5.15631e-06 | 8.18241e-07 / -8.26821e-07 | -2.11561e-05 / 2.11335e-05 | -3.4118e-06 / 3.43467e-06 | -2.07328e-06 / 2.05191e-06 | -2.92396e-06 / 2.93809e-06 | -5.11842e-07 / 4.69659e-07 | -4.5395e-05 / 4.54421e-05 | 4.46738e-07 / -4.44476e-07 | -2.35239e-05 / 2.35264e-05 |
 | GlobalReduction_JET_EffectiveNP_8 | -0.000335602 / 0.000335608 | 1.03283e-05 / -1.03045e-05 | -9.60562e-06 / 9.59721e-06 | 1.07748e-05 / -1.07972e-05 | 6.68833e-06 / -6.76685e-06 | 1.24946e-05 / -1.25158e-05 | 7.2126e-06 / -7.19929e-06 | 1.14094e-06 / -1.12196e-06 | 5.32736e-05 / -5.33074e-05 | -7.98804e-07 / 8.01044e-07 | 2.37032e-05 / -2.37802e-05 |
 | GlobalReduction_JET_EffectiveNP_7 | 1.59783e-06 / -1.59144e-06 | 1.07957e-06 / -1.05543e-06 | -2.19906e-06 / 2.19706e-06 | 5.56899e-06 / -5.59161e-06 | -3.00507e-06 / 3.02795e-06 | 4.15037e-06 / -4.17174e-06 | -3.58898e-06 / 3.60322e-06 | -3.89416e-07 / 4.08596e-07 | 1.2162e-05 / -1.21962e-05 | 9.0341e-08 / -8.80776e-08 | -9.62941e-07 / 9.65451e-07 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | -2.03395e-06 / 2.0407e-06 | 1.22034e-06 / -1.19663e-06 | -5.27771e-06 / 5.33724e-06 | -6.92609e-06 / 6.90364e-06 | -2.28575e-06 / 2.30845e-06 | 0.000645848 / -0.00064587 | 4.06437e-07 / -3.92132e-07 | -2.05542e-07 / 2.24579e-07 | -5.88518e-05 / 5.88179e-05 | 1.60341e-06 / -1.60116e-06 | 2.67069e-05 / -2.67044e-05 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | -0.000977201 / 0.000977189 | -0.00164506 / 0.00164503 | -0.00139613 / 0.00139609 | 0.0378382 / -0.0378667 | 0.00614332 / -0.00614404 | 0.0018911 / -0.00189119 | 0.000922873 / -0.000922949 | 0.0324925 / -0.0325134 | 0.00279622 / -0.0027964 | 0.00296692 / -0.00296709 | 0.00517209 / -0.00517261 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -7.69351e-05 / 7.69415e-05 | -8.34317e-05 / 8.33847e-05 | -0.000256055 / 0.000256046 | 0.0352221 / -0.0352273 | 0.00520863 / -0.00520868 | -0.000670462 / 0.00067044 | -0.000124649 / 0.000124663 | 5.33114e-05 / -5.32925e-05 | 0.000704871 / -0.000704826 | -6.92742e-06 / 6.92965e-06 | 0.00520957 / -0.00520965 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | 3.31398e-09 / 3.31398e-09 | 1.21634e-08 / 1.21634e-08 | -4.3243e-09 / -4.3243e-09 | 2.63221e-08 / 2.63221e-08 | -3.9967e-08 / -3.9967e-08 | 2.22293e-08 / 2.22293e-08 | -3.0309e-08 / -3.0309e-08 | -2.12588e-08 / -2.12588e-08 | 2.3706e-08 / 2.3706e-08 | 1.1403e-09 / 1.1403e-09 | 1.26436e-09 / 1.26436e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 9.53192e-06 / -9.5891e-06 | -1.46336e-05 / 1.46577e-05 | -5.34578e-05 / 5.34492e-05 | 2.61358e-08 / -4.87739e-08 | 0.000194011 / -0.000193988 | 2.40797e-05 / -2.41011e-05 | -2.71233e-06 / 2.72601e-06 | -2.11351e-08 / -2.10977e-08 | -6.75599e-05 / 6.75256e-05 | -2.94309e-06 / 2.94536e-06 | -1.84741e-06 / 1.84993e-06 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | -3.9587e-06 / 3.96528e-06 | 2.58158e-06 / -2.62894e-06 | -3.82815e-05 / 3.82729e-05 | 1.9744e-06 / -1.92212e-06 | 1.0802e-05 / -1.08814e-05 | -6.53263e-06 / 6.51125e-06 | -6.2484e-07 / 6.38494e-07 | -2.1329e-08 / -2.08912e-08 | 7.20245e-06 / -7.1553e-06 | 0.00312122 / -0.00312128 | 4.6627e-06 / -4.66019e-06 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | -0.000142442 / 0.000142448 | -0.000673369 / 0.00067339 | -0.000570541 / 0.000570599 | 0.000792971 / -0.000792923 | 0.000805694 / -0.000805676 | -0.00088672 / 0.000886758 | -0.000313204 / 0.000313217 | -4.99289e-06 / 5.01207e-06 | 0.000554168 / -0.000554124 | 2.17532e-05 / -2.1751e-05 | 0.0060088 / -0.00600907 |
 | GlobalReduction_JET_Flavor_Composition | -0.00121363 / 0.00121365 | -0.000177819 / 0.000177839 | -0.000335603 / 0.000335597 | 0.086435 / -0.0862745 | 0.0125156 / -0.012514 | -0.00143388 / 0.00143388 | 0.000962515 / -0.000962496 | 0.0295746 / -0.0295634 | 0.00431787 / -0.00431766 | 0.000553495 / -0.00055349 | -0.0011393 / 0.00113931 |
 | GlobalReduction_JET_Flavor_Response | 0.000568907 / -0.000568902 | 0.000282701 / -0.000282746 | 0.000199199 / -0.000199208 | -0.0785321 / 0.0785361 | -0.00179962 / 0.00179953 | 0.0013437 / -0.00134366 | -0.000305587 / 0.000305599 | -0.0322482 / 0.0322456 | -0.00286567 / 0.0028656 | -0.000645034 / 0.000645034 | 0.000990411 / -0.000990413 |
 | GlobalReduction_JET_PunchThrough_MC16 | 2.86223e-09 / 3.53986e-09 | -5.9631e-08 / 8.37216e-08 | -2.12828e-07 / 2.04218e-07 | 4.03497e-07 / -4.26288e-07 | -3.9967e-08 / -3.9967e-08 | -2.41747e-07 / 2.86206e-07 | 1.207e-07 / -1.06495e-07 | -2.12588e-08 / -2.12588e-08 | 2.3706e-08 / -5.81922e-08 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | 0.00249459 / -0.00249465 | 0.00350955 / -0.00350967 | 0.000330975 / -0.000330976 | -0.000143104 / 0.000143103 | -0.00365461 / 0.00365448 | 0.00644085 / -0.00644127 | -0.00143548 / 0.00143546 | 0.000491613 / -0.000491615 | 0.0022291 / -0.00222915 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | 0.00468509 / -0.00468563 | 0.00564265 / -0.00564343 | 0.00109321 / -0.00109324 | 0.0604205 / -0.0605093 | 0.0150525 / -0.0150581 | 0.0054947 / -0.00549544 | -0.00317854 / 0.00317829 | 0.00123856 / -0.00123859 | -0.00137524 / 0.00137519 | 0.0146177 / -0.014623 | 0.00523857 / -0.00523925 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | 0.00634206 / -0.00634172 | 0.0060735 / -0.00607319 | 0.000613678 / -0.000613674 | 0.127243 / -0.126949 | -0.00333873 / 0.00333881 | 0.0015157 / -0.00151568 | -0.00661143 / 0.00661175 | -0.109978 / 0.109964 | 0.00401024 / -0.0040101 | 0.015055 / -0.0150529 | 0.00865601 / -0.00865537 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | 0.00492006 / -0.00491887 | 0.00580325 / -0.00580158 | -4.27951e-06 / 4.27951e-06 | 0.133928 / -0.132799 | 0.0131219 / -0.0131132 | 0.00482572 / -0.00482458 | -0.00445856 / 0.00445952 | -0.00364298 / 0.00364362 | 0.00289008 / -0.00288967 | 0.0148092 / -0.0147981 | 0.0148486 / -0.0148375 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | 0.00581575 / -0.00581637 | 0.00564741 / -0.005648 | -6.48198e-05 / 6.48198e-05 | 0.122992 / -0.123225 | -0.0190655 / 0.0190586 | -0.00313439 / 0.00313421 | -0.00431599 / 0.00431564 | -0.107194 / 0.106948 | 0.00352299 / -0.00352322 | 0.0146293 / -0.0146332 | 0.0192045 / -0.0192112 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | 0.00496469 / -0.00496495 | 0.00331005 / -0.00331016 | 0.000711275 / -0.000711281 | -0.00737092 / 0.00737031 | 0.0150818 / -0.0150841 | 0.00153276 / -0.00153279 | -0.00365766 / 0.00365751 | 0.000819189 / -0.000819196 | 0.00560854 / -0.00560888 | 0.0096618 / -0.00966277 | 0.024758 / -0.024764 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | 0.00271053 / -0.00271033 | 0.00319469 / -0.00319441 | 0.00110563 / -0.00110559 | -0.00928122 / 0.00928345 | -0.0117526 / 0.0117561 | -0.00061684 / 0.00061685 | -0.00278296 / 0.00278316 | 0.00111595 / -0.00111592 | -0.000438434 / 0.00043844 | 0.00976897 / -0.00976633 | 0.0248327 / -0.0248148 |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | 0.00337695 / -0.00337719 | 0.00435904 / -0.00435944 | 0.000354113 / -0.000354115 | 0.0467369 / -0.0467836 | -0.0122733 / 0.0122702 | 0.00438809 / -0.00438849 | -0.00353209 / 0.00353183 | 0.00108213 / -0.00108215 | 0.00386284 / -0.00386316 | 0.0146746 / -0.0146792 | 0.0247895 / -0.0248025 |
 | GlobalReduction_JET_Pileup_OffsetMu | 0.000529014 / -0.000529004 | 0.000335128 / -0.000335104 | -0.00038224 / 0.000382234 | 0.00235044 / -0.00235031 | 0.0073344 / -0.00733368 | -0.000988578 / 0.000988635 | -0.000782772 / 0.000782722 | -1.79191e-05 / 1.78791e-05 | 0.000558348 / -0.000558298 | 0.00387028 / -0.00387005 | 0.00602843 / -0.00602788 |
 | GlobalReduction_JET_Pileup_OffsetNPV | -0.00207574 / 0.00207569 | -0.00143521 / 0.00143522 | -0.00119276 / 0.00119281 | 0.0114366 / -0.0114382 | 0.0123442 / -0.0123461 | 0.00176017 / -0.00176023 | 0.00152235 / -0.00152237 | 2.30234e-05 / -2.30647e-05 | -0.00184452 / 0.00184444 | -2.23689e-05 / 2.23711e-05 | 0.0148749 / -0.0148775 |
 | GlobalReduction_JET_Pileup_PtTerm | 0.000283814 / -0.000283808 | 3.35767e-05 / -3.35527e-05 | -5.44642e-07 / 5.36138e-07 | -0.00014793 / 0.000147908 | -0.000101747 / 0.00010177 | -2.95975e-05 / 2.95763e-05 | -7.14895e-06 / 7.16275e-06 | 0.00010208 / -0.000102061 | -1.28901e-05 / 1.2937e-05 | 3.64077e-05 / -3.64055e-05 | 4.87991e-05 / -4.87966e-05 |
 | GlobalReduction_JET_Pileup_RhoTopology | -0.0028543 / 0.00285442 | -0.00330021 / 0.00330033 | -0.00379697 / 0.00379717 | 0.0800851 / -0.0799124 | 0.0310745 / -0.0310554 | -0.00109651 / 0.00109651 | 0.00287382 / -0.00287368 | 0.0299151 / -0.0298976 | -0.00209801 / 0.00209805 | 0.000888075 / -0.000888061 | 0.0266119 / -0.0265984 |
