 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_2 | -0.000125374 / 0.000125374 | -1.13129e-05 / 1.13129e-05 | -0.000113892 / 0.000113892 | 0.000168598 / -0.000168599 | 0.00125 / -0.00125001 | -4.46078e-05 / 4.46078e-05 | 1.51961e-06 / -1.51961e-06 | 0.00128731 / -0.00128732 | 0.00265711 / -0.00265716 | -8.2772e-05 / 8.27719e-05 | -0.000584454 / 0.000584451 |
 | bTagSF_eigenvars_C_3 | 3.79816e-05 / -3.79816e-05 | 6.34603e-06 / -6.34603e-06 | 3.77406e-05 / -3.77406e-05 | -0.000119427 / 0.000119427 | -0.000336949 / 0.000336948 | 1.11203e-05 / -1.11203e-05 | 2.85424e-05 / -2.85424e-05 | -0.000259874 / 0.000259873 | -2.40805e-05 / 2.40805e-05 | 5.45265e-05 / -5.45266e-05 | 6.82338e-05 / -6.82338e-05 |
 | bTagSF_eigenvars_Light_0 | 0.00143903 / -0.00143898 | 0.000765919 / -0.000765906 | 0.000981435 / -0.000981414 | -0.122889 / 0.123065 | -0.00173403 / 0.0017341 | 0.000492335 / -0.000492329 | 0.00169186 / -0.0016918 | 0.00178936 / -0.00178929 | -0.00443761 / 0.00443805 | 0.000817009 / -0.000816994 | 0.000527566 / -0.000527559 |
 | bTagSF_eigenvars_Light_1 | -0.000191939 / 0.000191938 | 2.97168e-05 / -2.97168e-05 | -1.94953e-05 / 1.94953e-05 | 0.00724314 / -0.00724349 | 0.000171778 / -0.000171778 | -2.08764e-05 / 2.08764e-05 | -0.000317257 / 0.000317256 | -0.000410125 / 0.000410124 | 0.000366373 / -0.000366374 | -0.00016037 / 0.00016037 | -0.000122249 / 0.000122249 |
 | bTagSF_eigenvars_Light_2 | -3.78848e-05 / 3.78848e-05 | -7.52793e-05 / 7.52793e-05 | -7.13834e-05 / 7.13834e-05 | -0.00160104 / 0.00160103 | -6.11401e-05 / 6.11401e-05 | -6.0288e-05 / 6.02879e-05 | 8.001e-05 / -8.001e-05 | 5.35458e-05 / -5.35458e-05 | -0.000186708 / 0.000186708 | 5.14129e-05 / -5.14129e-05 | 1.05678e-05 / -1.05678e-05 |
 | bTagSF_eigenvars_Light_3 | 3.20226e-05 / -3.20226e-05 | 9.27252e-06 / -9.27252e-06 | 4.16132e-05 / -4.16133e-05 | -0.00252868 / 0.00252864 | -7.4298e-06 / 7.4298e-06 | 2.59331e-05 / -2.59331e-05 | 1.84406e-06 / -1.84406e-06 | 1.15008e-05 / -1.15008e-05 | -0.000171007 / 0.000171007 | 1.16867e-05 / -1.16867e-05 | 1.05054e-05 / -1.05054e-05 |
 | EG_RESOLUTION_ALL | -1.24833e-05 / 1.24737e-05 | -0.00136318 / 0.0013632 | 0.00154317 / -0.00154313 | 0.000590948 / -0.000590981 | 1.89729e-05 / -1.89557e-05 | -0.000160823 / 0.00016083 | -0.00433793 / 0.00433785 | -0.00416384 / 0.00416382 | 0.00433959 / -0.00433964 | 0.00218796 / -0.00218801 | -0.000271046 / 0.000270989 |
 | EG_SCALE_ALL | -0.000622976 / 0.000622963 | 0.00276877 / -0.0027688 | 0.000875533 / -0.000875569 | -0.000668013 / 0.000668043 | 0.000132914 / -0.000132897 | 0.000650247 / -0.000650243 | 0.00385192 / -0.00385207 | 0.036292 / -0.0363005 | 0.06902 / -0.0690483 | 0.000566054 / -0.000566026 | 0.000732965 / -0.000732959 |
 | GlobalReduction_JET_BJES_Response | 0.000169031 / -0.00016904 | 0.00624268 / -0.00624295 | -0.000315677 / 0.000315645 | 0.000159507 / -0.000159473 | 0.00407453 / -0.00407464 | 0.00310071 / -0.00310078 | 0.00315677 / -0.0031568 | 0.0182319 / -0.0182343 | -0.000485444 / 0.000485428 | 0.00217531 / -0.00217532 | 0.0036866 / -0.00368669 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00366536 / -0.00366559 | 0.00795502 / -0.00795602 | 0.00558692 / -0.00558746 | 0.0172548 / -0.0172596 | 0.010881 / -0.0108829 | 0.00819281 / -0.00819389 | 0.00651577 / -0.00651641 | 0.0239197 / -0.0239288 | 0.0687832 / -0.0688553 | 0.0145668 / -0.0145702 | 0.00832267 / -0.00832378 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00206835 / 0.00206833 | -0.00407531 / 0.00407528 | -0.00153812 / 0.00153808 | -0.00550994 / 0.00550988 | -0.00314916 / 0.00314904 | -0.00229728 / 0.00229727 | -0.000358824 / 0.000358874 | -0.00725544 / 0.00725528 | -0.0038634 / 0.00386335 | -0.00326012 / 0.00326005 | -0.00269018 / 0.00269016 |
