 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_2 | -0.000185405 / 0.000185405 | -2.2123e-05 / 2.2123e-05 | -0.000173048 / 0.000173048 | 0.000165781 / -0.000165781 | 0.00119976 / -0.00119977 | -5.57e-05 / 5.56999e-05 | -1.0024e-05 / 1.0024e-05 | 0.00109636 / -0.00109636 | 0.00243796 / -0.002438 | -0.000121453 / 0.000121453 | -0.000687653 / 0.00068765 |
 | bTagSF_eigenvars_C_3 | 3.99816e-05 / -3.99817e-05 | 9.38787e-06 / -9.38787e-06 | 4.47827e-05 / -4.47827e-05 | -0.000116105 / 0.000116105 | -0.000336589 / 0.000336588 | 1.06721e-05 / -1.06721e-05 | 2.12499e-05 / -2.12499e-05 | -0.000223418 / 0.000223417 | -3.59115e-05 / 3.59115e-05 | 5.84057e-05 / -5.84057e-05 | 6.12422e-05 / -6.12422e-05 |
 | bTagSF_eigenvars_Light_0 | 0.00135763 / -0.00135759 | 0.000916399 / -0.00091638 | 0.000942691 / -0.00094267 | -0.12311 / 0.123289 | -0.00215443 / 0.00215454 | 0.000448138 / -0.000448133 | 0.00168289 / -0.00168283 | -0.00147917 / 0.00147922 | -0.00447684 / 0.00447729 | 0.000751257 / -0.000751244 | 0.000488767 / -0.000488761 |
 | bTagSF_eigenvars_Light_1 | -0.000169402 / 0.000169402 | -4.12791e-06 / 4.12791e-06 | 1.38703e-05 / -1.38703e-05 | 0.00723352 / -0.00723387 | 0.00017349 / -0.00017349 | -2.90026e-05 / 2.90026e-05 | -0.000309519 / 0.000309518 | 0.000371149 / -0.00037115 | 0.000386626 / -0.000386627 | -0.000144022 / 0.000144022 | -9.46688e-05 / 9.46687e-05 |
 | bTagSF_eigenvars_Light_2 | -4.33197e-05 / 4.33197e-05 | -7.07251e-05 / 7.07251e-05 | -8.52305e-05 / 8.52304e-05 | -0.00160923 / 0.00160921 | -5.62118e-05 / 5.62118e-05 | -6.53665e-05 / 6.53664e-05 | 7.83861e-05 / -7.83862e-05 | 1.56658e-05 / -1.56658e-05 | -0.000193618 / 0.000193618 | 5.24699e-05 / -5.24699e-05 | -5.4302e-06 / 5.4302e-06 |
 | bTagSF_eigenvars_Light_3 | 3.37369e-05 / -3.3737e-05 | 1.26615e-05 / -1.26615e-05 | 4.78561e-05 / -4.78561e-05 | -0.00256988 / 0.00256984 | -1.77227e-05 / 1.77227e-05 | 2.6521e-05 / -2.6521e-05 | 3.40481e-06 / -3.40481e-06 | -8.19172e-05 / 8.19172e-05 | -0.000174754 / 0.000174754 | 7.83566e-06 / -7.83566e-06 | 1.52883e-05 / -1.52883e-05 |
 | EG_RESOLUTION_ALL | 2.03987e-05 / -2.04676e-05 | -0.00161908 / 0.00161907 | 0.00143874 / -0.00143874 | 0.000701255 / -0.000701296 | 8.28154e-05 / -8.28309e-05 | 5.4549e-05 / -5.45172e-05 | -0.00527958 / 0.00527957 | -0.00376244 / 0.00376243 | 0.00425213 / -0.00425211 | 0.00201429 / -0.00201432 | -0.000372368 / 0.000372398 |
 | EG_SCALE_ALL | -0.000610795 / 0.000610795 | 0.00177979 / -0.00177982 | 0.000661652 / -0.000661654 | -0.00078638 / 0.000786335 | 5.89806e-05 / -5.89962e-05 | 0.000363637 / -0.00036368 | 0.00240364 / -0.00240373 | 0.032797 / -0.0328038 | -0.000868105 / 0.000868155 | -0.000198572 / 0.000198616 | 0.000698467 / -0.00069854 |
 | GlobalReduction_JET_BJES_Response | 0.000929773 / -0.000929777 | 0.00580246 / -0.00580273 | 0.000442338 / -0.000442338 | 0.000153714 / -0.000153689 | 0.0043512 / -0.00435137 | 0.00357025 / -0.00357039 | 0.00373508 / -0.00373516 | 0.0165183 / -0.0165204 | -0.000850213 / 0.000850176 | 0.00237867 / -0.00237873 | 0.00412387 / -0.00412407 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00216093 / 0.00216092 | -0.00396101 / 0.00396095 | -0.00133599 / 0.00133599 | -0.0054001 / 0.00540004 | -0.00324615 / 0.0032461 | -0.0021695 / 0.00216951 | -0.000338718 / 0.000338746 | -0.00656075 / 0.00656063 | -0.00387295 / 0.00387287 | -0.00332641 / 0.00332642 | -0.00227113 / 0.00227105 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000974733 / -0.000974731 | 0.000474537 / -0.000474545 | 0.000411368 / -0.000411367 | 0.00206468 / -0.00206472 | 0.00138458 / -0.0013845 | 0.00130779 / -0.00130776 | 0.00126274 / -0.00126272 | 2.79244e-06 / -2.77634e-06 | 0.000662422 / -0.000662369 | 0.00160108 / -0.00160111 | 0.000726785 / -0.000726757 |
