NUISANCE_PARAMETERS
#mu  0.00368679 +0.177404 -0.177404
gamma_stat_SR1_bin_4  0.999994 +0.0212026 -0.0212026
gamma_stat_SR1_bin_5  0.999994 +0.021968 -0.021968
gamma_stat_SR1_bin_6  0.999988 +0.0189624 -0.0189624
gamma_stat_SR1_bin_7  0.999989 +0.0203718 -0.0203718
gamma_stat_SR1_bin_8  0.999981 +0.0263231 -0.0263231
gamma_stat_SR1_bin_9  0.999982 +0.0206991 -0.0206991
gamma_stat_SR2_bin_0  1.00002 +0.0329718 -0.0329718
gamma_stat_SR2_bin_1  1.00001 +0.02508 -0.02508
gamma_stat_SR2_bin_2  1.00001 +0.025481 -0.025481
gamma_stat_SR2_bin_3  1.00001 +0.0236135 -0.0236135
gamma_stat_SR2_bin_4  1.00001 +0.0251008 -0.0251008
gamma_stat_SR2_bin_5  1.00001 +0.0277372 -0.0277372
gamma_stat_SR2_bin_6  1.00001 +0.024085 -0.024085
gamma_stat_SR2_bin_7  1 +0.0283437 -0.0283437
gamma_stat_SR2_bin_8  1.00001 +0.0269626 -0.0269626
gamma_stat_SR2_bin_9  0.999999 +0.0196874 -0.0196874
gamma_stat_SR3_bin_0  1 +0.0176581 -0.0176581
gamma_stat_SR3_bin_1  1 +0.0188069 -0.0188069
gamma_stat_SR3_bin_2  1 +0.0207117 -0.0207117
gamma_stat_SR3_bin_3  1 +0.0206417 -0.0206417
gamma_stat_SR3_bin_4  1 +0.0216606 -0.0216606
gamma_stat_SR3_bin_5  1.00001 +0.0294475 -0.0294475
gamma_stat_SR3_bin_6  0.999997 +0.0254109 -0.0254109
gamma_stat_SR3_bin_7  0.999992 +0.0295518 -0.0295518
gamma_stat_SR3_bin_8  0.999982 +0.0455831 -0.0455831
gamma_stat_SR3_bin_9  0.99998 +0.0374768 -0.0374768
gamma_stat_TTCR_bin_0  1.00843 +0.0407343 -0.0407343
gamma_stat_TTCR_bin_1  0.987467 +0.0378558 -0.0378558
gamma_stat_TTCR_bin_2  0.994833 +0.0363677 -0.0363677
gamma_stat_TTCR_bin_3  0.997128 +0.0408579 -0.0408579
gamma_stat_TTCR_bin_4  1.00797 +0.03886 -0.03886
gamma_stat_TTCR_bin_5  1.00923 +0.0376992 -0.0376992
gamma_stat_TTCR_bin_6  0.999707 +0.0312619 -0.0312619
gamma_stat_TTCR_bin_7  0.996872 +0.0300733 -0.0300733
gamma_stat_TTZCR_bin_0  1.00071 +0.0181812 -0.0181812
gamma_stat_TTZCR_bin_1  1.00107 +0.0172847 -0.0172847
gamma_stat_TTZCR_bin_2  1.00166 +0.0181254 -0.0181254
gamma_stat_TTZCR_bin_3  0.997644 +0.0162697 -0.0162697
gamma_stat_TTZCR_bin_4  0.999677 +0.0158049 -0.0158049
gamma_stat_TTZCR_bin_5  0.998757 +0.0160306 -0.0160306
gamma_stat_TTZCR_bin_6  1.00074 +0.0146687 -0.0146687
gamma_stat_TTZCR_bin_7  0.999455 +0.0146271 -0.0146271
mu_ttbar_Wt  0.931827 +0.2534 -0.2534


CORRELATION_MATRIX
167   167
