 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | GlobalReduction_JET_EffectiveNP_2 | -0.000776137 / 0.000776153 | -1.21199e-05 / 1.21162e-05 | -0.00100908 / 0.00100913 | -4.15805e-05 / 4.1633e-05 | -0.000403429 / 0.000403361 | -0.00100658 / 0.00100656 | -0.00223726 / 0.00223721 | -6.14732e-05 / 0.0231698 | -4.86241e-05 / 4.8639e-05 | -0.000640844 / 0.000640818 | -0.000720906 / 0.000720925 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000245969 / -0.000245952 | 0.000904265 / -0.000904269 | 0.000307103 / -0.000307133 | -1.44096e-06 / 1.38872e-06 | 3.20327e-05 / -3.19998e-05 | 9.44963e-05 / -9.45181e-05 | 0.00223543 / -0.00223541 | -9.75768e-06 / 9.77437e-06 | 2.49852e-05 / -2.49703e-05 | 0.000345862 / -0.000345888 | 0.000203203 / -0.000203184 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000109713 / 0.00010973 | 2.89598e-05 / -2.89635e-05 | 6.40343e-05 / -6.40651e-05 | 1.59832e-06 / -1.54576e-06 | -9.38234e-06 / 9.31475e-06 | 0.000203369 / -0.000203391 | -0.00223452 / 0.00223454 | 9.99632e-06 / -9.97963e-06 | -5.64122e-06 / 5.65612e-06 | -0.000309841 / 0.000309883 | -8.3084e-05 / 8.31028e-05 |
 | GlobalReduction_JET_EffectiveNP_5 | 2.44041e-05 / -2.43874e-05 | -1.15584e-05 / 1.15547e-05 | -1.61857e-06 / 1.66407e-06 | -7.85239e-08 / 2.6279e-08 | -1.13954e-06 / 1.07195e-06 | 2.30711e-05 / -2.30929e-05 | 0.00223098 / -0.00223097 | -1.00906e-05 / 1.01073e-05 | 4.48755e-07 / -4.3385e-07 | -2.87123e-07 / 2.61123e-07 | 5.20666e-06 / -5.25046e-06 |
 | GlobalReduction_JET_EffectiveNP_8 | -6.47361e-06 / 6.49029e-06 | 1.10868e-05 / -1.10906e-05 | 3.11454e-06 / -3.14538e-06 | 2.6279e-08 / 2.6279e-08 | 1.87612e-06 / -1.84319e-06 | 2.76714e-05 / -2.76932e-05 | 1.19466e-06 / -1.17517e-06 | 1.03293e-05 / -1.03126e-05 | -3.45589e-07 / 3.60494e-07 | 7.40838e-07 / -7.66838e-07 | 3.64122e-06 / -3.62241e-06 |
 | GlobalReduction_JET_EffectiveNP_7 | 4.6832e-06 / -4.74509e-06 | -1.26513e-06 / 1.26141e-06 | -3.97123e-07 / 3.66282e-07 | 2.6279e-08 / 2.6279e-08 | -5.36404e-07 / 4.68816e-07 | -2.45457e-05 / 2.45238e-05 | -0.00223237 / 0.00223239 | 7.85188e-07 / -7.68498e-07 | 1.83973e-07 / -1.69069e-07 | -1.50061e-07 / 1.92592e-07 | -9.88416e-06 / 9.90297e-06 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 3.86251e-05 / -3.8687e-05 | 7.25024e-06 / -7.25397e-06 | 7.47985e-07 / -7.02486e-07 | 2.6279e-08 / 2.6279e-08 | 6.90222e-06 / -6.86929e-06 | 4.84129e-05 / -4.8354e-05 | 0.00223461 / -0.00223459 | -6.5752e-07 / 6.7421e-07 | 5.18163e-05 / -5.18014e-05 | 1.01496e-06 / -9.7243e-07 | 2.78742e-05 / -2.78554e-05 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | 0.00281895 / -0.00281893 | 0.000182704 / -0.000182708 | 0.00298612 / -0.00298608 | 0.000105248 / -0.000105301 | 0.00114612 / -0.00114619 | 0.00340136 / -0.00340138 | 0.00225602 / -0.002256 | 0.023188 / -0.023188 | -0.000422054 / 0.000422069 | 0.00259696 / -0.00259692 | 0.00217672 / -0.0021767 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | 0.000495269 / -0.000495252 | 2.19716e-06 / -2.20089e-06 | 0.00112074 / -0.00112069 | 5.5991e-05 / -5.59385e-05 | 0.000161505 / -0.000161573 | 0.000367042 / -0.000367064 | 2.23146e-06 / -2.21197e-06 | 0.0231574 / -0.0231573 | -4.65941e-05 / 4.6609e-05 | 0.000510404 / -0.00051043 | 0.000364381 / -0.000364362 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -3.09464e-08 / -3.09464e-08 | 4.49253e-08 / 4.49253e-08 | -1.54206e-08 / -1.54206e-08 | 2.6279e-08 / 2.6279e-08 | -3.37939e-08 / -3.37939e-08 | -1.09064e-08 / -1.09064e-08 | 9.74533e-09 / 9.74533e-09 | 8.34499e-09 / 8.34499e-09 | 7.45238e-09 / 7.45238e-09 | -1.29998e-08 / -1.29998e-08 | 9.40797e-09 / 9.40797e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 4.4282e-05 / -4.42654e-05 | 8.87105e-07 / -8.9083e-07 | 0.000110297 / -0.000110251 | -7.85239e-08 / 1.31082e-07 | 2.67051e-05 / -2.66721e-05 | 4.48619e-05 / -4.48837e-05 | 2.82392e-06 / -2.80443e-06 | 8.34499e-09 / 8.34499e-09 | -3.45589e-07 / 2.72234e-07 | 1.92592e-07 / -2.18592e-07 | 5.32343e-05 / -5.32781e-05 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 4.62463e-05 / -4.63082e-05 | 1.16783e-06 / -1.17156e-06 | -9.17612e-08 / 6.09199e-08 | 2.66462e-05 / -2.65937e-05 | 3.47468e-05 / -3.48144e-05 | 0.000108539 / -0.000108561 | 7.50318e-07 / -8.04885e-07 | 8.34499e-09 / 8.34499e-09 | 7.45238e-09 / 7.45238e-09 | -3.78219e-06 / 3.75619e-06 | 4.45525e-06 / -4.43643e-06 |
