 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | GlobalReduction_JET_EffectiveNP_5 | 2.31915e-05 / -2.31781e-05 | -2.84681e-05 / 2.84608e-05 | 0.000239445 / -0.000239461 | -2.32862e-05 / 2.32832e-05 | 6.96815e-05 / -6.96135e-05 | 7.19275e-05 / -7.19343e-05 | -9.47231e-06 / 9.47191e-06 | 8.27946e-07 / -8.3963e-07 | -1.01196e-05 / 1.00593e-05 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_8 | -7.37676e-06 / 7.39007e-06 | 3.01302e-05 / -3.01375e-05 | 0.000232762 / -0.000232778 | 6.7363e-05 / -6.73016e-05 | -4.53072e-05 / 4.53747e-05 | 6.275e-05 / -6.27568e-05 | 9.45094e-06 / -9.45134e-06 | -9.20539e-07 / 9.08961e-07 | 0.000103461 / -0.000103432 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_7 | 6.95558e-06 / -6.94214e-06 | -1.98011e-05 / 1.97938e-05 | -0.000147989 / 0.000148037 | -0.000157711 / 0.000157707 | -6.90645e-05 / 6.91325e-05 | -5.07283e-05 / 5.07214e-05 | -1.03404e-05 / 1.034e-05 | 2.49701e-06 / -2.5087e-06 | -3.66471e-06 / 3.69401e-06 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 1.04309e-05 / -1.04175e-05 | 0.000402113 / -0.000402121 | 2.44805e-05 / -2.4433e-05 | 0.000345807 / -0.000345811 | 0.00012323 / -0.000123163 | 0.000129794 / -0.000129801 | -1.06671e-05 / 1.06667e-05 | -1.75461e-06 / 1.743e-06 | 1.01407e-05 / -1.02007e-05 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | 0.00354938 / -0.00354955 | 0.00886629 / -0.00886738 | 0.00578809 / -0.00578859 | 0.0191246 / -0.0191301 | 0.0133062 / -0.0133088 | 0.00728291 / -0.00728369 | 0.00902169 / -0.00902289 | 0.0420167 / -0.0420431 | 0.00386404 / -0.00386423 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | 0.000609596 / -0.000609659 | 0.00380806 / -0.00380812 | 0.00195543 / -0.00195546 | 0.00208845 / -0.00208847 | 0.0020429 / -0.00204295 | 0.00101612 / -0.00101606 | 0.0027822 / -0.00278223 | 0.00896428 / -0.00896464 | -0.000352616 / 0.000352556 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | 5.55112e-06 / -5.53758e-06 | 3.27666e-08 / 3.27666e-08 | 2.40585e-08 / 2.40585e-08 | 3.1218e-08 / 3.1218e-08 | 3.4312e-08 / 3.4312e-08 | -2.20898e-05 / 2.2083e-05 | -2.04891e-10 / -2.04891e-10 | -5.8868e-09 / -5.8868e-09 | 1.47608e-08 / 1.47608e-08 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 2.00227e-05 / -2.00093e-05 | 0.000706331 / -0.000706342 | -4.24946e-05 / 4.24788e-05 | 0.000771774 / -0.000771781 | 0.000153262 / -0.000153294 | 0.000234762 / -0.000234694 | 0.000662198 / -0.000662202 | -5.85105e-09 / -5.84376e-09 | 4.5348e-05 / -4.54085e-05 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 9.80287e-05 / -9.80153e-05 | -1.41547e-06 / 1.40816e-06 | 0.000156911 / -0.000156863 | -5.92548e-05 / 5.92517e-05 | 0.000528399 / -0.000528332 | 0.000190042 / -0.000190049 | -1.72574e-07 / 1.72167e-07 | 3.27882e-07 / -3.39574e-07 | 6.29819e-06 / -6.26887e-06 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | 0.00178177 / -0.00178186 | 0.00421247 / -0.00421261 | 0.000944359 / -0.000944382 | 0.00544033 / -0.00544055 | 0.00325746 / -0.00325757 | 0.00193768 / -0.00193764 | 0.00185764 / -0.00185766 | 0.00673842 / -0.00673877 | 0.00209599 / -0.00209599 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Flavor_Composition | 0.0131601 / -0.0131535 | 0.0103833 / -0.0103792 | 0.0153196 / -0.0153107 | 0.063967 / -0.0637835 | 0.0366634 / -0.0366081 | 0.0203032 / -0.0202872 | 0.0194011 / -0.0193865 | 0.0422654 / -0.0421906 | 0.0139817 / -0.0139743 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_PunchThrough_MC16 | 7.92181e-06 / -7.90826e-06 | 1.05658e-07 / -1.13017e-07 | -4.00207e-08 / 2.40585e-08 | -8.19618e-07 / 8.16605e-07 | -3.36482e-06 / 3.43345e-06 | 9.71155e-06 / -9.7184e-06 | 6.93962e-07 / -6.94372e-07 | -5.8868e-09 / -5.8868e-09 | 1.47608e-08 / 1.47608e-08 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | -0.00177703 / 0.00177701 | -0.0148221 / 0.0148212 | -0.00151765 / 0.00151764 | 0.0160375 / -0.016039 | 0.00199728 / -0.0019973 | -0.000109293 / 0.000109293 | 0.00804938 / -0.00804972 | -0.107434 / 0.107437 | -0.00225507 / 0.00225505 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_1 | 0.000431194 / -0.000431196 | -0.00182339 / 0.00182336 | -0.00336896 / 0.00336883 | 0.0249804 / -0.0249874 | 0.00583957 / -0.00583995 | -0.00221863 / 0.00221858 | -0.00359252 / 0.00359237 | -0.046119 / 0.0460946 | 0.00882844 / -0.00882932 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_2 | -0.000242276 / 0.000242277 | 0.000917975 / -0.000917966 | -0.00419513 / 0.00419532 | 0.0373919 / -0.0373721 | 0.0116365 / -0.0116349 | -0.000526136 / 0.000526139 | -0.00102615 / 0.00102616 | 0.0013662 / -0.00136618 | 0.00194756 / -0.00194751 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_3 | 0.000675461 / -0.000675437 | -0.00438086 / 0.00438188 | -0.00309465 / 0.00309516 | 0.0310557 / -0.0310007 | 0.00790559 / -0.00790217 | -0.00143143 / 0.00143154 | 0.00181889 / -0.00181871 | -0.0350685 / 0.03513 | 0.00865567 / -0.00865157 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_4 | 0.000377201 / -0.000377203 | -0.00309915 / 0.00309903 | 0.000120529 / -0.00012053 | 0.0368041 / -0.0368195 | 0.00830298 / -0.00830381 | 0.00299174 / -0.00299185 | 0.00798849 / -0.00798927 | -0.0380751 / 0.0380557 | 0.00707832 / -0.00707893 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_5 | 0.00022034 / -0.00022034 | 0.000777917 / -0.000777919 | -0.00247197 / 0.00247195 | 0.0110832 / -0.0110836 | 0.00511618 / -0.00511627 | 0.00483178 / -0.00483185 | -0.0092226 / 0.00922228 | -0.028957 / 0.0289531 | 0.00658908 / -0.00658921 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_6 | -0.00145479 / 0.00145486 | -0.00558277 / 0.00558378 | -0.000105757 / 0.000105757 | 0.018328 / -0.0183163 | 0.00328967 / -0.00328931 | 0.00197485 / -0.00197472 | -0.0111053 / 0.0111093 | -0.0322856 / 0.0323169 | 0.00438167 / -0.00438103 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | 0.00028238 / -0.000282381 | -0.0118305 / 0.0118289 | -0.00137127 / 0.00137124 | 0.0235968 / -0.0236035 | 0.0067167 / -0.00671723 | -0.000205138 / 0.000205137 | -0.00172767 / 0.00172764 | -0.039181 / 0.0391631 | 0.00801005 / -0.00801081 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Pileup_OffsetMu | 0.00182505 / -0.00182498 | 0.00315279 / -0.00315262 | 0.00203168 / -0.00203162 | 0.00985485 / -0.00985309 | 0.00590859 / -0.00590797 | 0.00250449 / -0.00250438 | 0.00700162 / -0.00700072 | 0.00879135 / -0.00878995 | 0.00200264 / -0.00200254 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Pileup_OffsetNPV | 0.00405902 / -0.00405907 | 0.00335101 / -0.00335106 | 0.00382371 / -0.00382371 | 0.0214861 / -0.0214876 | 0.0144034 / -0.0144042 | 0.006851 / -0.00685117 | 0.0153003 / -0.0153011 | 0.0348845 / -0.0348877 | 0.00155662 / -0.0015566 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Pileup_PtTerm | -0.000896243 / 0.000896173 | 3.23524e-05 / -3.23597e-05 | 0.000542273 / -0.000542292 | -0.000893939 / 0.000893929 | -0.000722078 / 0.000722141 | -0.00123816 / 0.00123822 | -0.000991637 / 0.000991628 | 5.48234e-06 / -5.49398e-06 | -0.00470165 / 0.00470148 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_Pileup_RhoTopology | 0.0124789 / -0.0124713 | 0.0154554 / -0.0154436 | 0.0125586 / -0.0125509 | 0.0476444 / -0.0475227 | 0.0366928 / -0.0366225 | 0.0219434 / -0.0219192 | 0.0265064 / -0.0264706 | 0.0462937 / -0.0461792 | 0.00856954 / -0.00856595 | -nan / -nan | -nan / -nan |
