 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_3 | 4.65001e-06 / -4.65001e-06 | 5.33332e-06 / -5.33332e-06 | -3.91695e-05 / 3.91695e-05 | -0.000143662 / 0.000143662 | -0.000169661 / 0.000169661 | 7.81586e-06 / -7.81586e-06 | -6.80705e-06 / 6.80705e-06 | -0.000126955 / 0.000126955 | -0.00021874 / 0.000218739 | -2.15396e-05 / 2.15396e-05 | 0.000153894 / -0.000153894 |
 | bTagSF_eigenvars_Light_0 | -0.000164233 / 0.000164233 | -0.000290959 / 0.000290961 | -0.00024115 / 0.000241151 | -0.119498 / 0.11967 | -7.346e-05 / 7.34601e-05 | -0.00176378 / 0.00176385 | -0.00155473 / 0.00155478 | -0.00333004 / 0.00333029 | -0.00926724 / 0.00926911 | -6.77834e-05 / 6.77835e-05 | -0.00108355 / 0.00108357 |
 | bTagSF_eigenvars_Light_1 | 7.60793e-05 / -7.60794e-05 | 7.90148e-05 / -7.90149e-05 | 4.52525e-05 / -4.52525e-05 | -0.00845759 / 0.00845713 | 3.07166e-05 / -3.07166e-05 | 7.62885e-05 / -7.62886e-05 | 0.000350904 / -0.000350905 | 0.000885384 / -0.000885389 | -0.000483598 / 0.000483596 | -3.81619e-05 / 3.81618e-05 | 0.000171375 / -0.000171375 |
 | bTagSF_eigenvars_Light_2 | -8.60039e-06 / 8.60039e-06 | -1.51918e-05 / 1.51918e-05 | -9.45104e-06 / 9.45104e-06 | -0.00463936 / 0.00463921 | -1.86277e-05 / 1.86277e-05 | 2.55476e-05 / -2.55476e-05 | 1.19448e-05 / -1.19448e-05 | -0.000142019 / 0.000142019 | -0.000736909 / 0.000736905 | -1.45826e-05 / 1.45826e-05 | -0.000133615 / 0.000133615 |
 | bTagSF_eigenvars_Light_3 | 7.72041e-06 / -7.72041e-06 | -3.31056e-06 / 3.31056e-06 | 9.15646e-06 / -9.15646e-06 | -0.00180373 / 0.00180371 | 6.54591e-06 / -6.54591e-06 | 6.65807e-07 / -6.65807e-07 | -6.0168e-05 / 6.0168e-05 | -5.79878e-05 / 5.79878e-05 | -0.000385916 / 0.000385915 | 1.11106e-05 / -1.11106e-05 | 2.86909e-05 / -2.86909e-05 |
 | EG_RESOLUTION_ALL | 0.00195103 / -0.00195099 | 0.00100342 / -0.00100344 | 0.00324883 / -0.00324897 | 0.000975716 / -0.000975729 | -0.000660786 / 0.000660799 | -0.00370564 / 0.00370562 | 0.00748654 / -0.00748658 | 0.0422947 / -0.0423008 | -0.0838561 / 0.0838658 | 0.00130289 / -0.0013029 | 0.00400659 / -0.00400664 |
 | EG_SCALE_ALL | 0.00247808 / -0.00247825 | -0.000651423 / 0.000651381 | 0.00362246 / -0.00362248 | 0.00126603 / -0.00126617 | -0.00200778 / 0.00200766 | 0.00444135 / -0.00444148 | -0.00142922 / 0.00142918 | -0.0239345 / 0.0239303 | 0.273501 / -0.078357 | -0.0111461 / 0.0111451 | -0.0141857 / 0.0141842 |
 | GlobalReduction_JET_BJES_Response | -0.0145619 / 0.0145603 | -0.0228386 / 0.0228346 | -0.00387854 / 0.00387841 | -0.000608159 / 0.00060816 | 0.00110391 / -0.0011039 | -0.00010068 / 0.000100435 | -0.0159261 / 0.0159241 | -0.0220491 / 0.0220453 | -0.0162167 / 0.0162146 | 0.00421492 / -0.00421511 | -0.0154117 / 0.0154098 |
 | GlobalReduction_JET_EffectiveNP_1 | -0.0211883 / 0.0211805 | -0.0200787 / 0.0200719 | -0.0273176 / 0.0273048 | 0.0115731 / -0.0115753 | -0.0112331 / 0.0112311 | 0.00033334 / -0.000333277 | 0.00137046 / -0.00137052 | 0.0132507 / -0.0132535 | -0.0562889 / 0.0562341 | -0.0024019 / 0.00240174 | -0.0205524 / 0.0205453 |
 | GlobalReduction_JET_EffectiveNP_2 | 0.00836539 / -0.0083655 | 0.00936868 / -0.00936891 | 0.0117286 / -0.0117289 | -0.00562249 / 0.00562268 | 0.00466198 / -0.00466204 | 0.00159083 / -0.00159084 | -0.00603549 / 0.00603545 | -0.0731299 / 0.0730963 | -0.0744303 / 0.0743952 | 0.0105073 / -0.0105077 | 0.016243 / -0.0162435 |
 | GlobalReduction_JET_EffectiveNP_3 | -0.00257559 / 0.00257553 | -0.0066945 / 0.00669438 | -0.00199562 / 0.00199558 | 0.00112732 / -0.0011273 | -0.00586841 / 0.00586828 | -0.00124452 / 0.0012445 | -0.00685616 / 0.00685605 | -0.0834398 / 0.0833933 | 0.35396 / -0.038592 | 0.0053936 / -0.00539367 | -0.0129205 / 0.0129202 |
 | GlobalReduction_JET_EffectiveNP_4 | 0.00178457 / -0.00178453 | -0.0016296 / 0.00162954 | 0.0028657 / -0.0028658 | -0.000138554 / 0.000138355 | 0.00339292 / -0.00339299 | 0.00652724 / -0.00652739 | -0.00246404 / 0.00246397 | -0.0466101 / 0.0465924 | 0.370306 / -0.0413139 | 0.0070313 / -0.00703167 | -0.000634822 / 0.000634805 |
 | GlobalReduction_JET_EffectiveNP_5 | 0.00151565 / -0.00151561 | -0.002137 / 0.00213702 | -0.00195676 / 0.00195671 | -0.00768903 / 0.0076886 | 0.000997323 / -0.000997306 | -0.00283544 / 0.00283538 | -0.00739768 / 0.00739732 | -0.00501259 / 0.00501239 | -0.079084 / 0.0790333 | 0.00473105 / -0.00473126 | 0.00713792 / -0.00713832 |
 | GlobalReduction_JET_EffectiveNP_8 | -0.000927262 / 0.000927209 | 0.00299513 / -0.00299519 | 0.000642442 / -0.000642467 | -0.0064572 / 0.00645707 | 0.000402259 / -0.000402233 | 0.00126654 / -0.00126652 | 0.0147553 / -0.0147559 | -0.0662292 / 0.0662032 | 0.00237991 / -0.0023799 | -0.0054656 / 0.00546555 | 0.00505063 / -0.00505066 |
 | GlobalReduction_JET_EffectiveNP_7 | -0.00203834 / 0.00203835 | 0.00244813 / -0.0024482 | -0.00275344 / 0.00275338 | -0.00977514 / 0.00977454 | -0.00237457 / 0.00237456 | 0.00386041 / -0.00386052 | -0.00328129 / 0.00328129 | 0.0193677 / -0.0193702 | -0.000674187 / 0.000674211 | 0.0110409 / -0.0110417 | -0.0017449 / 0.00174487 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | -0.00325947 / 0.00325939 | -0.000723851 / 0.000723821 | 0.00090276 / -0.000902692 | 0.00198703 / -0.00198706 | -0.00205461 / 0.00205451 | -0.00278576 / 0.00278566 | -0.0123436 / 0.0123431 | -0.0479976 / 0.0479871 | -0.00181945 / 0.00181939 | -0.00400174 / 0.00400149 | -0.0315555 / 0.0315516 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | -0.017459 / 0.017453 | -0.0194501 / 0.0194426 | -0.0286413 / 0.0286248 | 0.0244631 / -0.0244736 | -0.00457986 / 0.00457947 | -0.00389022 / 0.00388992 | -0.0197701 / 0.0197624 | -0.0156897 / 0.0156849 | -0.125275 / 0.124979 | -0.00352139 / 0.0035211 | -0.0284056 / 0.0283899 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -0.000313953 / 0.000313915 | -0.00649441 / 0.00649436 | -0.00721404 / 0.007214 | 0.00284768 / -0.00284793 | -0.00318995 / 0.00318995 | -0.00364884 / 0.00364881 | -0.0135107 / 0.0135104 | 0.0548991 / -0.0549142 | 0.389935 / -0.0603719 | -0.00222519 / 0.00222478 | -0.00172625 / 0.00172623 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -5.45337e-05 / 5.44827e-05 | 3.54492e-08 / 3.54492e-08 | 3.53431e-08 / 3.53431e-08 | -1.49511e-06 / 1.39486e-06 | 1.20666e-08 / 1.20666e-08 | -0.000147795 / 0.000147798 | -1.50007e-08 / -1.50007e-08 | -5.34535e-10 / -5.34535e-10 | -2.39581e-08 / -2.39581e-08 | -0.000752881 / 0.000752871 | 2.39383e-08 / 2.39383e-08 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | -0.00113878 / 0.00113872 | -9.11227e-07 / 8.87858e-07 | 0.00163603 / -0.00163607 | 0.00208854 / -0.00208858 | -3.58192e-05 / 3.57345e-05 | -0.00197106 / 0.00197104 | -1.49135e-08 / -1.48869e-08 | -0.00668095 / 0.00668065 | -5.87108e-05 / 5.86632e-05 | -0.00505501 / 0.00505482 | 0.00103902 / -0.00103905 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | -0.000718527 / 0.000718465 | 0.00111116 / -0.0011112 | -0.00208487 / 0.00208491 | 9.94501e-05 / -9.94608e-05 | -0.000918929 / 0.000918948 | 0.00129598 / -0.00129601 | -0.00235711 / 0.00235704 | 0.0117122 / -0.0117131 | -0.000517298 / 0.000517249 | -0.00359335 / 0.00359333 | -0.00332397 / 0.00332388 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | -0.00685203 / 0.00685173 | -0.00749166 / 0.0074913 | -0.0115257 / 0.0115248 | 0.00514244 / -0.00514303 | -0.00165194 / 0.00165183 | 0.00104868 / -0.00104869 | -0.0262435 / 0.0262384 | -0.00590696 / 0.00590669 | -0.0828956 / 0.0828455 | -0.0105213 / 0.0105202 | -0.000297544 / 0.000297529 |
 | GlobalReduction_JET_Flavor_Composition | -0.0359735 / 0.0359788 | -0.0273182 / 0.0273226 | -0.0591788 / 0.0591816 | 0.00811347 / -0.00811223 | -0.0125006 / 0.0125019 | -0.0339182 / 0.0339237 | -0.00112572 / 0.00112579 | -0.130763 / 0.130577 | -0.045991 / 0.0459972 | -0.00861532 / 0.00861642 | -0.0317679 / 0.0317732 |
 | GlobalReduction_JET_Flavor_Response | 0.0261149 / -0.026119 | 0.0127503 / -0.0127511 | 0.0442138 / -0.0442277 | -0.0199939 / 0.0199932 | 0.0110898 / -0.0110908 | 0.00944815 / -0.00944858 | 0.00646545 / -0.00646557 | 0.0478418 / -0.0478586 | 0.273961 / -0.083203 | 0.0235361 / -0.0235393 | 0.0273767 / -0.0273811 |
 | GlobalReduction_JET_PunchThrough_MC16 | -7.72668e-08 / 2.63153e-08 | 3.54492e-08 / -5.91956e-08 | 2.23669e-06 / -2.24719e-06 | 1.89415e-05 / -1.89381e-05 | -3.75433e-05 / 3.74546e-05 | 0.000572441 / -0.000572438 | -1.50007e-08 / -1.50007e-08 | -5.34535e-10 / -5.34535e-10 | -2.51783e-07 / 2.79809e-07 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | 0.021836 / -0.0218411 | 0.0139967 / -0.0139987 | -0.00719485 / 0.00719437 | 0.010288 / -0.0102891 | -0.00322666 / 0.00322656 | -0.00706599 / 0.00706553 | 0.0245109 / -0.0245173 | 0.0676011 / -0.0676601 | 0.523417 / -0.534544 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | -0.00041421 / 0.000414206 | 0.0284997 / -0.0285195 | 0.0154915 / -0.0154973 | -0.0376072 / 0.0375722 | -0.0132757 / 0.0132714 | 0.0138373 / -0.013842 | 0.00405438 / -0.00405478 | 0.0959665 / -0.0961865 | 1.25978 / -0.99999 | 0.00392751 / -0.00392789 | 0.0615704 / -0.0616618 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | -0.000953939 / 0.000953947 | 0.0518296 / -0.0517958 | 0.00537951 / -0.00537925 | -0.0184917 / 0.0184941 | -0.00449258 / 0.00449274 | 0.0224231 / -0.022418 | 0.0189829 / -0.0189794 | -0.0660656 / 0.0660784 | 1.4772 / -1 | 0.00331671 / -0.00331661 | 0.0924729 / -0.0923373 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | 0.000190127 / -0.000190125 | 0.0220955 / -0.0220706 | -0.0125419 / 0.0125494 | -0.0127097 / 0.0127174 | -0.0114828 / 0.011489 | 0.0100161 / -0.0100111 | 0.00831474 / -0.00831131 | -0.0304246 / 0.0304667 | 1.6614 / -1 | -0.0083089 / 0.00831221 | 0.0486016 / -0.0484742 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | -0.00621268 / 0.00621195 | 0.0331359 / -0.0331554 | -0.000227342 / 0.000227342 | -0.00427744 / 0.0042771 | -0.00940839 / 0.00940672 | 0.00301563 / -0.0030158 | 0.0104261 / -0.0104281 | 0.0798187 / -0.079924 | 0.523773 / -0.524974 | -0.0345857 / 0.0345623 | 0.0215655 / -0.0215739 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | 0.00247494 / -0.002475 | 0.00831246 / -0.00831318 | 0.00846414 / -0.00846489 | 0.00331524 / -0.00331535 | -0.0121338 / 0.0121321 | -0.0057885 / 0.00578813 | -0.0194324 / 0.019428 | 0.0331166 / -0.0331268 | 1.38338 / -1 | -0.00562733 / 0.00562698 | -0.00687107 / 0.00687054 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | 0.000369578 / -0.000369575 | 0.0132445 / -0.0132396 | 0.00133913 / -0.00133908 | 0.0156079 / -0.015601 | -0.0170119 / 0.0170191 | -0.0117436 / 0.0117472 | 0.00554694 / -0.0055461 | -0.0154692 / 0.0154752 | 1.57471 / -1 | -0.00360938 / 0.00360973 | 0.0469863 / -0.0469176 |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | 0.000954486 / -0.000954505 | 0.0192447 / -0.0192525 | 0.00330826 / -0.00330849 | 0.00260105 / -0.0026012 | -0.00561277 / 0.00561211 | 0.00821914 / -0.00822057 | 0.0394792 / -0.0395124 | 0.0868697 / -0.0870322 | 1.2562 / -0.999922 | -0.0195023 / 0.0194943 | 0.053856 / -0.053918 |
 | GlobalReduction_JET_Pileup_OffsetMu | -0.00448734 / 0.00448769 | -0.00583879 / 0.00583924 | -0.0118329 / 0.0118352 | -0.00820449 / 0.00820422 | 0.00389284 / -0.00389269 | 0.00615607 / -0.0061555 | 0.0111501 / -0.0111483 | 0.11375 / -0.113678 | -0.0545657 / 0.0546261 | 0.00949812 / -0.00949688 | -0.00811753 / 0.00811859 |
 | GlobalReduction_JET_Pileup_OffsetNPV | -0.00959924 / 0.00959797 | -0.0167699 / 0.0167663 | -0.0333845 / 0.0333694 | -0.00930197 / 0.0093007 | -0.00660001 / 0.00659946 | 0.00164646 / -0.00164649 | -0.0369945 / 0.0369758 | -0.0300785 / 0.0300664 | -0.0209776 / 0.0209718 | 0.00378135 / -0.00378179 | -0.031244 / 0.0312308 |
 | GlobalReduction_JET_Pileup_PtTerm | 0.000795599 / -0.000795552 | -0.00303824 / 0.00303812 | -0.00158122 / 0.00158119 | -0.00989978 / 0.00989872 | -0.00539951 / 0.00539912 | 0.00501134 / -0.00501161 | 0.0151102 / -0.0151125 | -0.041608 / 0.0415888 | 0.272364 / -0.0781206 | 0.00905408 / -0.00905462 | -0.000702514 / 0.000702494 |
 | GlobalReduction_JET_Pileup_RhoTopology | -0.0443509 / 0.0443695 | -0.0456152 / 0.0456343 | -0.0714108 / 0.0714376 | 0.0146691 / -0.0146647 | -0.0140577 / 0.0140603 | -0.0084676 / 0.00846871 | -0.00504662 / 0.00504699 | -0.0955982 / 0.0956116 | 0.12791 / 0.142209 | -0.00959877 / 0.0095998 | -0.0336378 / 0.0336503 |
 | GlobalReduction_JET_SingleParticle_HighPt | 2.70876e-08 / 2.70876e-08 | 3.54492e-08 / 3.54492e-08 | 3.53431e-08 / 3.53431e-08 | -4.98225e-08 / -4.98225e-08 | 1.20666e-08 / 1.20666e-08 | 1.38715e-09 / 1.38715e-09 | -1.50007e-08 / -1.50007e-08 | -5.34535e-10 / -5.34535e-10 | -2.39581e-08 / -2.39581e-08 | 3.062e-08 / 3.062e-08 | 2.39383e-08 / 2.39383e-08 |
 | MET_SoftTrk_ResoPara | -0.0110425 / 0.0110406 | 0.00795495 / -0.0079559 | 0.00589323 / -0.00589375 | -0.00755177 / 0.00755088 | -0.00622235 / 0.00622176 | -0.0308274 / 0.0308119 | 0.0118648 / -0.0118669 | 0.0551219 / -0.0551628 | 0.782437 / -0.773696 | -0.0214168 / 0.0214095 | -0.000390019 / 0.000390016 |
