 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | GlobalReduction_JET_EffectiveNP_3 | 0.00084078 / -0.00084079 | 0.000573458 / -0.000573432 | 0.000435424 / -0.000435377 | 0.00217585 / -0.00217581 | 0.00138459 / -0.00138458 | 0.00149449 / -0.00149449 | 0.00140133 / -0.00140137 | 2.83539e-06 / -2.82821e-06 | 0.000719741 / -0.000719756 | 0.00133718 / -0.00133715 | 0.000682603 / -0.000682661 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000243762 / 0.000243752 | -0.000490346 / 0.000490289 | -0.000210173 / 0.000210141 | -0.000816781 / 0.000816815 | -0.000748785 / 0.000748803 | -0.000670973 / 0.000670979 | -0.000998361 / 0.00099832 | 2.37865e-06 / -2.37147e-06 | -0.00083977 / 0.000839755 | -0.000515986 / 0.000516016 | -0.000122324 / 0.000122333 |
 | GlobalReduction_JET_EffectiveNP_5 | -6.07388e-06 / 6.15473e-06 | -3.68319e-05 / 3.68579e-05 | 0.000297769 / -0.000297722 | -1.16738e-05 / 1.16401e-05 | 8.10461e-05 / -8.10287e-05 | 0.000103035 / -0.000103028 | -1.06383e-05 / 1.06894e-05 | 1.00842e-06 / -1.00124e-06 | -1.04287e-05 / 1.04139e-05 | 2.58358e-05 / -2.58049e-05 | 1.23306e-05 / -1.23216e-05 |
 | GlobalReduction_JET_EffectiveNP_8 | 2.1282e-05 / -2.12917e-05 | 3.79294e-05 / -3.79035e-05 | 0.000221241 / -0.000221273 | 6.96884e-05 / -6.9722e-05 | -6.0502e-05 / 6.05195e-05 | 8.99204e-05 / -8.99136e-05 | 1.03201e-05 / -1.03613e-05 | -1.18394e-06 / 1.19112e-06 | 0.000107259 / -0.000107274 | -4.00226e-05 / 4.00535e-05 | -3.89726e-05 / 3.89816e-05 |
 | GlobalReduction_JET_EffectiveNP_7 | 1.80678e-06 / -1.81651e-06 | -2.24896e-05 / 2.25156e-05 | -0.000219475 / 0.000219444 | -0.000163721 / 0.000163687 | -5.67602e-05 / 5.67776e-05 | -4.11437e-05 / 4.11504e-05 | -1.11923e-05 / 1.1151e-05 | 2.83539e-06 / -2.82821e-06 | -3.35194e-06 / 3.33708e-06 | -0.000163636 / 0.000163667 | 3.43177e-05 / -3.43087e-05 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 6.01418e-05 / -6.01515e-05 | 0.00046078 / -0.000460755 | 3.84825e-05 / -3.84357e-05 | 0.000359862 / -0.000359896 | 9.01334e-05 / -9.02229e-05 | 2.96752e-05 / -2.96684e-05 | -1.09153e-05 / 1.08741e-05 | -2.00607e-06 / 2.01325e-06 | 1.20619e-05 / -1.20767e-05 | 0.000286691 / -0.000286734 | -2.95115e-05 / 2.94539e-05 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | 0.00368316 / -0.00368317 | 0.00952751 / -0.00952757 | 0.00556018 / -0.00556021 | 0.0194687 / -0.0194687 | 0.0134808 / -0.0134808 | 0.00815737 / -0.00815736 | 0.00861352 / -0.00861347 | 0.0463328 / -0.0463329 | 0.00328173 / -0.00328165 | 0.011942 / -0.011942 | 0.00706146 / -0.00706145 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | 0.000529449 / -0.000529368 | 0.00381672 / -0.00381669 | 0.00172505 / -0.00172509 | 0.00220984 / -0.0022098 | 0.00205769 / -0.00205768 | 0.00116901 / -0.001169 | 0.00299408 / -0.00299412 | 0.00985768 / -0.00985767 | -0.000791978 / 0.000791963 | 0.000784386 / -0.000784355 | 0.00152544 / -0.0015255 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -1.81651e-06 / 1.80678e-06 | 1.29785e-08 / 1.29785e-08 | 2.34053e-08 / 2.34053e-08 | 1.69638e-08 / 1.69638e-08 | 8.70178e-09 / 8.70178e-09 | -1.27014e-05 / 1.27081e-05 | -2.06289e-08 / -2.06289e-08 | 3.5906e-09 / 3.5906e-09 | 4.10452e-08 / 4.10452e-08 | -2.13772e-08 / -2.13772e-08 | 4.49887e-09 / 4.49887e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 4.97716e-06 / -4.89631e-06 | 0.000804419 / -0.000804393 | -5.04737e-05 / 5.04423e-05 | 0.000793839 / -0.000793805 | 0.000177692 / -0.000177675 | 0.000318114 / -0.000318108 | 0.000709334 / -0.000709375 | 3.5906e-09 / 3.5906e-09 | 4.89e-05 / -4.89148e-05 | 0.000193723 / -0.000193692 | 9.19505e-05 / -9.19415e-05 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 9.51066e-05 / -9.51163e-05 | -1.30586e-06 / 1.33181e-06 | 0.000194117 / -0.00019407 | -6.16804e-05 / 6.17144e-05 | 0.000537977 / -0.00053796 | 0.000160411 / -0.000160405 | -2.05284e-07 / 1.64027e-07 | 3.68984e-07 / -3.61803e-07 | 6.92395e-06 / -6.84186e-06 | 0.00026437 / -0.000264339 | 8.9885e-05 / -8.9876e-05 |
