 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | -0.00113909 / 0.00113903 | -9.11729e-07 / 8.88382e-07 | 0.0016363 / -0.00163633 | 0.00208978 / -0.00208982 | -3.66337e-05 / 3.655e-05 | -0.00197093 / 0.00197091 | -1.48477e-08 / -1.49505e-08 | -0.00668051 / 0.00668021 | -5.87077e-05 / 5.86601e-05 | -0.00505438 / 0.0050542 | 0.00103897 / -0.001039 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | -0.000718195 / 0.000718133 | 0.00111038 / -0.00111041 | -0.00208443 / 0.00208447 | 9.85996e-05 / -9.86125e-05 | -0.000919817 / 0.000919836 | 0.00129847 / -0.0012985 | -0.00235694 / 0.00235688 | 0.0117108 / -0.0117117 | -0.000517258 / 0.000517209 | -0.00359352 / 0.0035935 | -0.00332374 / 0.00332365 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | -0.00684566 / 0.00684533 | -0.0074875 / 0.00748709 | -0.0115195 / 0.0115185 | 0.00514642 / -0.00514709 | -0.00165134 / 0.00165121 | 0.0010467 / -0.00104671 | -0.0262206 / 0.0262149 | -0.00590145 / 0.00590116 | -0.082836 / 0.0827821 | -0.0105133 / 0.0105121 | -0.000297262 / 0.000297247 |
 | GlobalReduction_JET_Flavor_Composition | -0.036375 / 0.0376211 | -0.0278262 / 0.02855 | -0.0587168 / 0.062029 | 0.00851631 / -0.00845055 | -0.012886 / 0.0130393 | -0.0343609 / 0.035471 | -0.00117219 / 0.00117346 | -0.12259 / 0.137894 | -0.0461312 / 0.0481529 | -0.00890613 / 0.00897913 | -0.0322404 / 0.0332159 |
 | GlobalReduction_JET_Flavor_Response | 0.0260925 / -0.0259846 | 0.0127468 / -0.0127206 | 0.0441514 / -0.0438492 | -0.0200139 / 0.0200813 | 0.011089 / -0.0110694 | 0.00944735 / -0.00943291 | 0.00646408 / -0.00645724 | 0.0477695 / -0.0474174 | 0.279116 / -0.112081 | 0.0235207 / -0.0234328 | 0.027353 / -0.0272346 |
 | GlobalReduction_JET_PunchThrough_MC16 | -7.72639e-08 / 2.63124e-08 | 3.54492e-08 / -5.91956e-08 | 2.6039e-06 / -2.61403e-06 | 1.88304e-05 / -1.88271e-05 | -3.78204e-05 / 3.77316e-05 | 0.000572109 / -0.000572106 | -1.50007e-08 / -1.50007e-08 | -5.34535e-10 / -5.34535e-10 | -2.51783e-07 / 2.79809e-07 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | 0.0217591 / -0.0217443 | 0.0139492 / -0.013943 | -0.00718076 / 0.00718253 | 0.010262 / -0.0102586 | -0.00321415 / 0.0032145 | -0.00705968 / 0.00706139 | 0.0244227 / -0.0244042 | 0.0672731 / -0.0671533 | 0.511783 / -0.519458 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | -0.000416738 / 0.000416733 | 0.0283292 / -0.0283537 | 0.0154196 / -0.0154269 | -0.0373931 / 0.0373504 | -0.0132008 / 0.0131955 | 0.0137383 / -0.013744 | 0.00403153 / -0.00403202 | 0.0953571 / -0.0956345 | 1.23748 / -0.999916 | 0.00390121 / -0.00390167 | 0.0611961 / -0.0613103 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | -0.000958334 / 0.00095841 | 0.0520022 / -0.0517616 | 0.00538551 / -0.00538311 | -0.0183993 / 0.0184263 | -0.00448127 / 0.00448291 | 0.022403 / -0.0223604 | 0.0189795 / -0.018949 | -0.0655394 / 0.0658546 | 1.82513 / -1 | 0.00331424 / -0.00331333 | 0.0931411 / -0.0923246 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | 0.000189872 / -0.000189869 | 0.0220819 / -0.0220419 | -0.0125105 / 0.0125227 | -0.0126642 / 0.0126767 | -0.0114659 / 0.0114761 | 0.00998969 / -0.00998166 | 0.00830611 / -0.00830056 | -0.0303496 / 0.0304193 | 1.80915 / -1 | -0.00829572 / 0.00830112 | 0.0486264 / -0.0484245 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | -0.00618547 / 0.0061858 | 0.0328541 / -0.0328486 | -0.00020745 / 0.00020745 | -0.00422794 / 0.00422809 | -0.00936551 / 0.00936628 | 0.00298471 / -0.00298464 | 0.0103529 / -0.0103522 | 0.0788132 / -0.0788056 | 0.493075 / -0.503205 | -0.0344592 / 0.0344722 | 0.0213955 / -0.0213926 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | 0.00246849 / -0.00246855 | 0.00828666 / -0.0082874 | 0.00844737 / -0.00844814 | 0.00331619 / -0.00331631 | -0.0121233 / 0.0121219 | -0.00578858 / 0.00578824 | -0.0194159 / 0.0194124 | 0.0329468 / -0.0329599 | 1.17548 / -0.996213 | -0.00561329 / 0.00561297 | -0.00685836 / 0.00685789 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | 0.0003691 / -0.00036908 | 0.0133532 / -0.0133261 | 0.0013689 / -0.00136862 | 0.0157427 / -0.0157049 | -0.0170846 / 0.0171277 | -0.0118096 / 0.0118303 | 0.00558641 / -0.0055817 | -0.0155344 / 0.0155702 | 2.17904 / -1 | -0.00363269 / 0.00363467 | 0.0475989 / -0.0472443 |
