NUISANCE_PARAMETERS
#mu  0.121077 +0.19909 -0.19909
gamma_stat_SR2_bin_3  1.00079 +0.0237251 -0.0237251
gamma_stat_SR2_bin_4  1.0068 +0.0252125 -0.0252125
gamma_stat_SR2_bin_5  1.0026 +0.0278611 -0.0278611
gamma_stat_SR2_bin_6  1.00194 +0.0242364 -0.0242364
gamma_stat_SR2_bin_7  0.998398 +0.0284747 -0.0284747
gamma_stat_SR2_bin_8  1.00659 +0.0272267 -0.0272267
gamma_stat_SR2_bin_9  0.998885 +0.0202219 -0.0202219
gamma_stat_SR3_bin_0  1.00301 +0.0182693 -0.0182693
gamma_stat_SR3_bin_1  0.998166 +0.0189074 -0.0189074
gamma_stat_SR3_bin_2  0.999512 +0.0206449 -0.0206449
gamma_stat_SR3_bin_3  0.998228 +0.0203484 -0.0203484
gamma_stat_SR3_bin_4  0.996956 +0.0225254 -0.0225254
gamma_stat_SR3_bin_5  0.999038 +0.0287916 -0.0287916
gamma_stat_SR3_bin_6  1.0062 +0.0267926 -0.0267926
gamma_stat_SR3_bin_7  1.0015 +0.0317018 -0.0317018
gamma_stat_SR3_bin_8  1.00083 +0.04743 -0.04743
gamma_stat_SR3_bin_9  1.00012 +0.0424005 -0.0424005
gamma_stat_TTCR_bin_0  1.00826 +0.0407315 -0.0407315
gamma_stat_TTCR_bin_1  0.987478 +0.0378561 -0.0378561
gamma_stat_TTCR_bin_2  0.995246 +0.0363771 -0.0363771
gamma_stat_TTCR_bin_3  0.997283 +0.0408631 -0.0408631
gamma_stat_TTCR_bin_4  1.00813 +0.0388653 -0.0388653
gamma_stat_TTCR_bin_5  1.00925 +0.0376992 -0.0376992
gamma_stat_TTCR_bin_6  0.999798 +0.0312636 -0.0312636
gamma_stat_TTCR_bin_7  0.996923 +0.0300743 -0.0300743
gamma_stat_TTZCR_bin_0  1.00093 +0.0181848 -0.0181848
gamma_stat_TTZCR_bin_1  1.00133 +0.0172887 -0.0172887
gamma_stat_TTZCR_bin_2  1.00191 +0.0181294 -0.0181294
gamma_stat_TTZCR_bin_3  0.997872 +0.0162731 -0.0162731
gamma_stat_TTZCR_bin_4  0.999835 +0.0158072 -0.0158072
gamma_stat_TTZCR_bin_5  0.998904 +0.0160328 -0.0160328
gamma_stat_TTZCR_bin_6  1.00083 +0.01467 -0.01467
gamma_stat_TTZCR_bin_7  0.999513 +0.0146279 -0.0146279
mu_ttbar_Wt  0.893637 +0.235288 -0.235288


CORRELATION_MATRIX
167   167
0.00761794   -0.000442713   -0.00016469   -9.55703e-05   0.000269093   0.000120048   -0.00049153   5.30319e-05   -4.52235e-05   0.00223518   0.00287371   0.00207965   0.00172586   0.00140293   7.04979e-05   -0.000299289   -0.000524296   -0.0337818   -0.0302975   -0.0157096   -0.00511554   0.00404931   0.00612555   0.00995435   0.0110691   0.00928014   0.00939245   -0.0102505   -0.00698164   -0.00274516   -0.00146533   -0.000891418   6.53249e-05   0.00406811   0.00383819   0.00545489   0.00855641   -0.039737   -0.0320191   -0.0177525   -0.0127025   -0.0103801   -0.00307522   -0.00192632   -0.000105138   0.00106803   0.000643784   -0.000954716   -0.000226614   -0.00948277   -3.54139e-05   0.000231232   0.00209649   0.00382052   0.0120616   0.00371555   0.00623269   0.00897748   0.00838473   0.00714374   0.00812139   0.00637182   0.00134921   -0.00336213   -0.0355073   -0.0220313   0.028625   -0.00034114   -0.0168839   0.00788709   0.00181666   0.0766828   -0.0495879   0.0160636   -0.107245   0.00197135   -0.00169167   0.0675882   -0.133735   -0.0437317   -0.040023   0.0424103   -0.0333839   0.00349548   -0.222878   0.000415054   -0.00289757   -0.00345283   -0.0117307   -2.09668e-05   -0.000105536   -0.00239481   0.00711302   3.42041e-06   6.79669e-07   0.0004954   0.00166973   -0.00369858   0.0361187   -0.00483494   0.0115978   0.0162089   0.00953367   0.00632307   -0.00380955   -0.00524292   0.013386   0.0271719   -0.0825262   0.0710524   0.0572044   -0.0338196   -0.0554236   0.0268514   0.00260256   -0.042568   0.000226295   -0.000126151   -5.90825e-07   -1.76331e-06   -0.0392489   0.000110103   -1.49897e-05   -6.10659e-06   0.000395237   0.00204085   0.00262397   -0.00268622   0.018861   -0.00176389   6.44331e-05   0.049914   -0.0111035   0.0335901   0.0312908   0.0583669   0.0612488   0.0572803   0.058708   0.0626797   0.0922661   0.0830535   0.0443101   0.00462418   -0.0383362   0.0375441   0.00724313   0.00043285   -0.00109468   4.87179e-05   0.0549757   -0.00184068   -0.00645385   -0.00168002   0.00326581   -0.00547542   -0.0076465   -0.021508   0.0434406   0.00741104   1.45162e-08   0.000671212   -0.0416039   -0.027267   -0.00757761   0.00296519   1   
