NUISANCE_PARAMETERS
#mu  0.00302842 +0.173251 -0.173251
gamma_stat_TTZCR_bin_5  0.998759 +0.0160304 -0.0160304
gamma_stat_TTZCR_bin_6  1.00074 +0.0146685 -0.0146685
gamma_stat_TTZCR_bin_7  0.999457 +0.0146267 -0.0146267
mu_ttbar_Wt  0.931885 +0.253377 -0.253377


CORRELATION_MATRIX
166   166
-0.00176284   0.00109718   0.00120975   0.000989913   0.0012884   0.000874565   0.000114358   0.000823356   0.000702582   0.00269434   0.00262853   0.00169593   0.00128793   0.00127797   0.000979508   0.00024483   -0.000208809   -0.0287771   -0.0283736   -0.0152651   -0.00789571   -0.00226275   0.000873578   0.00245476   0.00383812   0.00254445   0.00294751   -0.0080462   -0.00440219   -0.00221773   0.000187704   -7.56623e-05   0.00108759   0.00383787   0.0037093   0.00433648   0.00674863   -0.0323863   -0.0269601   -0.0150018   -0.011327   -0.00834318   -0.00168887   -0.00113923   -9.70795e-05   0.00145601   0.000418729   -0.00214139   -0.000828344   -0.0056146   0.000216601   -0.000438683   0.00122052   0.00328456   0.0108861   0.00637918   0.007827   0.0107017   0.00893766   0.00872822   0.00992679   0.00839096   0.00312871   -0.0055915   -0.00126096   -0.0316577   0.0423521   -0.000274337   -0.000765689   0.0111816   0.00105221   0.0803699   -0.103443   0.0274894   -0.122319   -0.00064776   -0.00330172   0.061738   -0.135593   -0.0583674   -0.00300019   0.0436077   -0.0294208   0.00167983   0.000404847   -0.00284042   -0.0027991   -0.0130215   -3.85526e-06   -5.64921e-05   -0.0018632   0.0056447   1.27239e-06   2.10096e-06   0.000724815   0.00108865   -0.00524246   -0.000883969   -0.0189704   0.0146315   0.0178674   0.00806749   0.0055344   -0.00487876   -9.94329e-05   0.0146886   0.0407007   -0.0769794   0.0646985   0.0479375   -0.0692199   -0.0495036   0.0474245   0.000489967   -0.0836634   0.000467871   -0.000283505   -2.52645e-06   -1.59066e-06   -0.0383453   0.000161884   -1.89618e-05   -2.30601e-06   -0.00204493   0.00202143   0.00530718   -0.0180622   -0.00860055   -0.00254425   -2.78192e-05   0.0522473   -0.00559093   0.0210084   0.0184761   0.0444475   0.0197563   0.0305943   0.0403461   0.00696921   0.0435154   0.0645927   0.0375984   8.8461e-05   -0.0440157   0.0458381   0.00426725   8.12934e-06   -0.00117049   -0.00421454   0.0432973   -0.000196689   -0.00386427   0.000958519   -0.00237019   -0.00434545   -0.00035547   -0.0138862   0.0319399   0.0072484   -1.6814e-07   0.000702997   -0.0312148   -0.0250947   -0.0123339   0.00107477   1   
-0.000383721   -8.15543e-06   -2.70542e-05   -1.75584e-05   -2.59515e-05   -2.39921e-05   -2.89156e-05   -3.86627e-05   -3.79879e-05   0.00234786   0.00171709   -0.000482838   -0.0016933   -0.00160373   -0.00120234   6.94106e-05   0.0015541   8.00634e-05   -0.000854503   0.000127626   3.36356e-05   -0.000641527   3.44759e-05   -0.000102308   -0.000312499   -0.000172076   9.5229e-05   0.00043675   8.73953e-05   0.00110885   -0.00136134   -0.000652547   -0.00102222   -0.00120618   -0.000438088   0.00130262   0.00473146   4.9657e-05   0.000206843   0.000276316   0.000317055   0.00044932   0.000517541   0.000361744   0.000170875   3.58127e-05   -2.40561e-05   0.00169363   -0.000258618   0.00252374   -0.00154963   -0.000410369   -0.000805426   -0.00200459   -0.00813487   -0.00206906   -0.00108524   -0.00076528   0.00022142   -5.37975e-05   0.000285422   0.000215523   0.000153885   0.00246061   -9.09523e-07   0.00102233   -0.00187424   -0.000644785   -0.00135155   -0.000129948   0.000694077   2.18827e-06   -0.000461884   -0.000586989   -0.000740235   0.00170386   0.000218098   0.00183295   -0.00191789   0.000789472   -3.05668e-06   0.00324978   -0.00090556   0.000364519   -0.000110711   -0.000406683   -0.000683514   0.0012964   -1.33882e-05   -2.07261e-05   -0.00104095   0.00174887   1.61624e-06   -5.29534e-07   5.97766e-06   -1.77818e-05   -0.000138364   0.000176834   0.000713466   -0.00260638   -0.000829544   0.000277051   0.000540029   0.000901321   0.000757507   -0.00436163   -0.0137362   0.0033683   0.00192151   0.00306773   0.00356785   0.00252005   -0.0158777   0.00237728   -0.000821082   1.27394e-06   -1.16542e-05   1.26028e-06   -3.72072e-07   -0.0012341   -5.57965e-06   3.76048e-06   -3.30302e-06   -0.00013765   -0.000375055   -0.000262707   -0.00179272   -0.00246746   4.44875e-05   -8.09372e-08   0.00357931   0.000857637   -0.00017278   -0.001294   -0.00137703   0.00515368   0.00348893   -2.60137e-06   0.00127258   -0.000991144   0.00450903   -0.00272622   3.58298e-07   -0.00281606   0.000765023   -0.00104797   -1.77037e-06   0.000243691   0.00157895   -0.000437067   -0.000234552   0.000770107   -0.000478522   -0.000736275   0.000454184   0.000621669   0.000330038   0.00236535   -0.0007076   8.65877e-09   1.02581e-05   -0.000863971   -0.000932099   0.000510486   1   0.00107477   
0.00162085   -0.000270559   -7.31457e-05   9.60492e-05   0.000154495   0.000304779   0.000365428   0.000409254   0.000450032   -0.00181781   -0.000607102   0.000109332   0.000251687   0.000446902   0.000423617   0.000292778   -2.30347e-05   0.000391449   -0.000472927   0.000296484   0.000120927   -0.00072687   -6.3765e-05   -0.000126747   -0.000273803   -0.000112128   0.000222446   0.000148482   0.000183989   -0.000130872   -4.7079e-05   -0.000179875   -0.000258714   -0.000391056   -0.000542075   -0.00079938   -0.00146162   0.000422495   -0.00118792   -0.000355321   0.000180076   -0.00113872   -0.00204666   -0.0013388   0.000153312   -0.000247606   0.000105182   -0.00420502   -0.00165109   -0.00170209   0.00296805   0.00235342   0.0022863   0.00224443   0.0062222   0.00107511   0.000749999   0.000775465   0.000446365   0.000376475   0.000339331   0.000265364   0.000195568   1.82324e-05   4.31624e-06   -0.00177721   0.00198912   0.000423265   0.00234855   2.42959e-05   -0.000367641   0.00279688   0.00159619   0.00156549   -0.0022767   -0.0023445   -0.000445587   0.000554332   -0.00338336   -0.00193003   3.39235e-05   -0.000713939   -0.000613957   -0.000208228   0.000180184   0.000303748   0.000543649   0.000149704   9.12705e-08   1.39474e-06   0.00108186   -9.91763e-05   1.77664e-07   -4.43529e-07   -1.04018e-05   1.1898e-05   1.22304e-05   -0.00296766   -0.000842437   0.000355087   -0.00124272   4.79079e-05   -0.00034495   -0.000386863   -0.00060258   0.00107215   0.00619573   -0.00233645   0.000399459   -0.00165148   -0.00435767   -0.00521525   0.0101547   -0.00235997   -0.00656575   -1.62098e-05   5.2556e-06   -4.3783e-07   -5.94395e-08   0.000433414   2.36689e-05   -5.53758e-07   7.7296e-08   0.000381458   0.000580564   -0.000430265   0.00156884   0.00117115   -0.00237442   3.88177e-07   -0.00509692   -0.000751219   -0.0011527   0.0016781   0.00242913   -0.00281457   -0.00243568   0.00104091   -0.000180597   0.00195434   0.00192755   0.00463671   -1.22495e-06   0.00124588   -0.00191623   0.000565785   9.16031e-05   -0.000129652   -5.41092e-05   5.99265e-05   -0.000173112   -0.00022186   -4.40861e-05   -4.33463e-05   -0.000529904   -0.00181382   -0.00114431   -0.000784625   -3.7211e-05   2.39194e-08   -1.04733e-06   -0.00128029   -0.000705824   1   0.000510486   -0.0123339   
