NUISANCE_PARAMETERS
mu_ttbar_Wt  0.930428 +0.253211 -0.253211


CORRELATION_MATRIX
135   135
-0.000991147   -2.98235e-05   -4.59147e-05   -1.90006e-05   -2.63636e-05   -7.22379e-06   -4.88779e-06   -1.72761e-05   -2.24667e-05   0.00232761   0.00168912   -0.000503231   -0.00169818   -0.00161378   -0.00122995   -2.98151e-07   0.00143758   0.00194497   -0.000172002   0.00287079   -0.00153521   -8.20383e-05   -0.000428753   -0.00161241   -0.00791061   -0.0018137   -0.000814379   -0.000415063   0.000502146   0.000222881   0.000615358   0.000509068   0.000341017   0.00327117   1.34784e-09   0.000939698   0.000198312   -0.000622218   -0.00141494   -0.000139129   0.000463535   0.000224963   0.0025912   0.000124013   1.25118e-05   0.00184344   0.000262084   0.000714972   -0.00135864   0.00197697   1.34784e-09   0.00299483   -0.000540529   0.000381014   -0.00010578   -0.000297286   -0.00145278   0.00189905   -1.39954e-05   -1.85045e-05   -0.0014396   0.00439413   1.72045e-06   -5.76071e-07   2.20058e-05   -3.32702e-05   -0.000142441   0.00213733   0.00243915   -0.00381877   0.000204857   0.000445899   0.000680445   0.00119994   -9.00508e-05   -0.00566696   -0.0146059   -0.00105392   0.0031292   0.00474898   0.00619963   0.00217337   -0.0196298   0.00178621   0.00246147   8.25963e-07   -1.20039e-05   1.25578e-06   -4.0317e-07   -0.00157883   -9.86084e-06   1.54185e-07   -3.4394e-06   -3.86011e-05   -0.000104483   -0.000909131   -0.000901687   -0.0019458   0.00239395   1.34784e-09   0.000287877   0.000835937   -0.00180308   -0.000344171   0.0010572   0.00336445   0.00552481   0.00112765   0.00165472   -0.00306627   0.0042743   -0.00215163   1.34784e-09   -0.00234761   -0.00269684   -0.0010337   8.18584e-05   0.000210173   0.00203944   -0.000325823   -0.000659861   0.000827336   -0.000920306   -0.000632792   -2.51527e-05   8.81043e-06   0.000142691   0.00164016   -0.000876727   4.91096e-09   1.02174e-05   -0.000195551   -0.000671675   0.000323022   1   
0.00178344   -0.000315316   -0.000129408   -5.09771e-07   4.661e-05   0.000176513   0.000230075   0.000270003   0.000322368   -0.00188169   -0.000675953   4.81798e-05   0.000175792   0.00037166   0.000367027   0.000264977   -8.33267e-05   -0.00438219   -0.00188273   -0.00192416   0.00269894   0.001885   0.00175619   0.00158174   0.00523673   0.00038998   0.000136394   -5.49457e-07   -0.000101446   -0.00016063   -0.000244834   -0.000269649   -0.000151485   0.000286455   1.30666e-09   -0.0014277   0.000789439   0.000463146   0.00280848   0.000273929   -0.000208647   0.00104236   -0.000127631   0.000299277   0.000364983   -0.00292617   -0.000668551   -0.000583495   0.0011747   -0.00181227   1.30666e-09   -0.00209993   -0.000109281   -0.000167201   0.000160817   0.000482671   0.0012257   0.000510399   -2.77495e-09   -1.34429e-06   0.00149416   -0.00282772   1.11991e-07   -4.09784e-07   6.28846e-08   3.35418e-06   6.92946e-05   -0.00233402   -0.00232076   -4.91081e-05   -0.00377037   -0.000295491   -0.000416082   -0.000716523   -0.00056124   0.000940979   0.006239   0.00294219   -0.00187205   -0.00221935   -0.00396158   -0.00469018   0.0115627   -0.0014797   -0.000459887   -4.20379e-07   -4.10717e-07   -2.5569e-07   -1.90724e-08   0.00176308   -3.37049e-06   -1.31546e-07   9.86374e-08   4.37313e-05   9.2232e-06   -3.74569e-05   0.000316167   -3.38528e-05   -0.0033554   1.30666e-09   -0.000581191   -0.000256875   0.00086054   0.000511935   -0.000213253   -0.00253491   -0.00263463   -0.00156371   -0.000350672   0.00139482   -0.000332734   0.00143722   1.30666e-09   0.00110041   0.00208999   0.000478062   -4.55201e-06   -2.84379e-05   7.73588e-05   6.78916e-05   0.000107175   -0.000192343   0.000411627   -0.000255014   0.000294252   -0.00089493   -0.000486567   -0.000768452   -7.16555e-05   3.01024e-08   1.12297e-06   -0.000826189   9.60471e-05   1   0.000323022   
-0.123986   -0.00377591   -0.00148912   -0.000654401   -0.000863926   -0.00083633   -0.000539429   -0.000555591   -0.000813241   -0.00451638   0.000195283   0.000234154   0.00154822   0.00283411   0.00148735   0.00158547   -0.00346508   -0.00175147   -0.000168792   -0.000601658   -0.00306223   0.000188636   0.000665225   -0.00184585   -0.00532444   -0.00113692   -0.00122993   -9.39431e-05   -0.000215827   0.000194294   0.000691077   0.00042207   0.000744834   -0.00595588   1.91387e-10   0.0025726   -0.00298736   0.000527563   0.000419148   -0.000721999   -0.000427856   -0.0107562   -0.0772362   -0.0043214   0.00202882   -0.00539158   -0.00262659   0.0052588   -0.00708602   -0.0129293   1.91387e-10   0.00560831   -0.0137413   0.000133762   -5.95583e-05   -0.000297404   -0.000556975   0.00230156   -5.25464e-06   -9.52889e-06   -0.000878155   0.00603054   3.45775e-07   -1.45824e-07   1.03818e-05   -2.35451e-05   0.000397063   0.0171977   -0.019635   -0.00271313   0.000215753   0.00101447   0.00128432   0.00108738   0.000185205   -0.00493354   -0.0505551   -0.0341677   -0.0107486   -0.009939   0.0051909   -0.000816821   -0.0321265   -0.00615288   -0.0165907   2.07673e-06   -4.13403e-06   8.79077e-07   -5.38349e-08   -0.015332   -3.08117e-05   5.37354e-07   -1.43495e-06   -0.00157058   -0.00142531   0.00175256   -0.00322712   0.000108924   -0.00218309   1.91387e-10   -0.0119696   0.00226212   -0.00166452   -0.00512448   -0.00353118   0.00407785   0.00404213   -0.00474789   0.0025602   -0.000937868   0.000580055   -0.00420971   1.91387e-10   0.00261952   -0.00688522   -0.000190192   -0.000423974   0.000169662   -0.000435047   -0.00104221   0.00146955   -0.000278054   0.00180303   -0.000760847   0.00204098   0.00284052   0.00276699   -0.00552127   -0.000620358   4.68941e-07   1.30193e-06   -0.0150823   1   9.60471e-05   -0.000671675   
-0.105104   -0.00174398   -0.00189346   -0.00157419   -0.00180672   -0.0015848   -0.00147707   -0.00165862   -0.00141355   -0.00412182   -0.00200178   -0.000938932   0.000692727   -0.000243446   0.000944553   0.00112914   0.00311015   -0.00172687   -0.00294946   -0.0022957   -0.00200892   0.00187137   0.000713754   -0.00145091   -0.00408607   -0.000530227   6.39895e-05   -0.00181516   -0.000477772   0.000138613   0.000212948   0.000661209   0.000971667   0.0107198   1.15175e-10   -0.00291945   0.00243889   0.000684598   -0.0020542   0.00102043   0.00126294   -0.0149793   -0.104297   -0.00734804   -0.00333524   -0.0101996   -0.00498475   0.00745749   -0.00995035   -0.0154832   1.15175e-10   0.00171664   -0.0181002   7.83655e-05   -9.20477e-06   -0.000217307   1.01945e-05   0.0016211   -2.25571e-06   -4.71343e-06   -0.000475458   0.00691193   1.63098e-07   3.38477e-07   1.70032e-06   -1.38083e-05   0.000753831   0.02151   -0.0217583   -0.00098401   0.000481388   0.00120439   0.00132882   0.0011965   0.000264863   -0.00303145   -0.0662972   -0.0442162   -0.0122641   -0.014933   0.00470727   -0.00164417   -0.040584   -0.0123236   -0.00603508   1.02804e-06   -2.00536e-07   1.49839e-06   4.192e-07   -0.019033   -0.000144132   3.80287e-06   1.51113e-07   0.000294012   -0.000734572   -0.000206755   -0.00230728   -0.00533355   -0.00505064   1.15175e-10   -0.022239   0.00105985   -0.00393422   -0.00248694   -0.00329278   0.00179871   0.00404383   -0.00326905   0.00018188   -0.00259784   0.00216116   -0.00310378   1.15175e-10   0.0064015   -0.0166206   -0.000187404   -0.000100851   0.000248041   0.00152065   -0.00228533   0.000251282   0.000439292   0.000232494   -0.00120393   0.00146355   -7.74023e-05   0.00065694   -0.00722826   -0.00199293   2.61184e-07   3.25029e-06   1   -0.0150823   -0.000826189   -0.000195551   
-6.87663e-06   1.16636e-06   8.79272e-07   -8.57075e-07   -4.74712e-07   -5.20269e-07   -5.68009e-07   -5.5437e-07   -5.21321e-07   -1.34433e-06   6.09688e-06   6.03121e-08   2.8065e-06   5.20696e-07   1.50658e-06   6.43125e-07   -8.64163e-06   7.75837e-06   2.97094e-06   -2.36888e-05   7.65801e-07   2.62178e-06   3.58578e-06   5.78232e-06   -5.75114e-06   9.39896e-05   -0.000120215   6.30688e-05   -6.02072e-05   2.12157e-05   5.4552e-06   9.91748e-06   7.52481e-06   -1.42826e-05   4.28681e-13   8.30626e-06   1.34951e-06   -9.33911e-07   -6.71846e-07   -2.87306e-06   -8.43439e-07   1.26539e-05   -2.49671e-05   2.08526e-06   -2.65593e-05   2.25598e-06   -8.09179e-07   8.07452e-07   -9.33795e-06   -7.29357e-06   4.28681e-13   1.26029e-05   1.25715e-06   2.43645e-07   -8.53367e-07   -4.08727e-06   -4.94864e-06   -8.12407e-06   -2.52503e-07   -6.35558e-07   -4.45603e-06   -4.54801e-06   3.61301e-08   -1.74193e-07   6.82164e-07   -6.84289e-07   6.557e-08   -1.10826e-06   1.71014e-05   1.92005e-05   5.06173e-05   8.31408e-06   6.81589e-06   1.72203e-07   2.57988e-05   1.21922e-06   -5.26476e-05   -1.58691e-06   4.30046e-05   3.56705e-05   2.47168e-05   -8.09166e-05   -4.60266e-05   2.52422e-05   0.000146442   1.24524e-07   -3.94268e-07   -9.41068e-08   -1.02662e-08   -1.01225e-06   1.91403e-07   -8.18452e-08   -5.1265e-08   7.81412e-06   9.91723e-06   5.84443e-06   4.82985e-05   8.06515e-05   6.38975e-05   4.28681e-13   1.6351e-05   -8.6987e-06   2.65354e-05   4.93828e-05   6.9309e-05   4.93944e-05   9.93125e-06   9.4039e-05   7.24783e-05   0.000101809   3.37002e-05   7.77595e-05   4.28681e-13   1.03514e-05   3.40972e-05   1.8227e-05   1.0856e-06   -4.6335e-06   -2.55927e-05   -1.23136e-05   -1.20396e-05   -1.0492e-05   -1.80793e-05   1.55192e-05   -2.07339e-05   -1.24262e-05   -1.42731e-05   -4.11237e-06   1.16697e-05   6.71318e-09   1   3.25029e-06   1.30193e-06   1.12297e-06   1.02174e-05   
