 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_2 | 3.36676e-05 / -3.36676e-05 | 1.60371e-05 / -1.60371e-05 | -3.64809e-05 / 3.64809e-05 | 6.40921e-05 / -6.40922e-05 | 0.000673763 / -0.000673766 | 3.17984e-06 / -3.17984e-06 | 6.58487e-05 / -6.58487e-05 | 0.092811 / -0.0928685 | -3.7012e-05 / 3.7012e-05 | 0.00119042 / -0.00119043 | 0.00302202 / -0.00302208 |
 | bTagSF_eigenvars_C_3 | -4.45252e-06 / 4.45252e-06 | -1.29496e-05 / 1.29496e-05 | 6.05119e-06 / -6.05119e-06 | -4.52887e-05 / 4.52887e-05 | -0.00027307 / 0.00027307 | -1.43569e-05 / 1.43569e-05 | -0.000130625 / 0.000130624 | 0.000916531 / -0.000916537 | -5.43961e-05 / 5.43961e-05 | -0.000328496 / 0.000328495 | -0.000460729 / 0.000460728 |
 | bTagSF_eigenvars_Light_0 | -0.000583785 / 0.000583793 | 0.000658627 / -0.000658617 | 0.000617257 / -0.000617249 | -0.263026 / 0.262938 | -0.0145322 / 0.0145368 | -0.000121945 / 0.000121946 | -0.00111854 / 0.00111857 | -0.00628141 / 0.00628228 | -0.00171638 / 0.00171645 | -0.010427 / 0.0104294 | -0.00658766 / 0.00658863 |
 | bTagSF_eigenvars_Light_1 | 3.7657e-05 / -3.7657e-05 | 3.15689e-05 / -3.15689e-05 | -8.83461e-05 / 8.83461e-05 | 0.00436923 / -0.00436936 | 0.000237277 / -0.000237277 | 6.38352e-07 / -6.38352e-07 | -0.000183563 / 0.000183563 | 0.00170009 / -0.00170011 | 0.000116869 / -0.000116869 | 0.000421735 / -0.000421736 | 0.000296998 / -0.000296999 |
 | bTagSF_eigenvars_Light_2 | -5.77488e-05 / 5.77488e-05 | -0.000307602 / 0.000307601 | -4.38647e-05 / 4.38647e-05 | -0.0148593 / 0.0148578 | -0.000433444 / 0.000433443 | 1.49775e-05 / -1.49775e-05 | 0.000661615 / -0.000661618 | -0.00205661 / 0.00205658 | 0.00034667 / -0.00034667 | -0.000187219 / 0.000187219 | -5.67324e-05 / 5.67324e-05 |
 | bTagSF_eigenvars_Light_3 | -1.74862e-06 / 1.74862e-06 | 9.86611e-05 / -9.86612e-05 | 2.7689e-05 / -2.7689e-05 | -0.00740767 / 0.0074073 | -0.000293472 / 0.000293471 | -4.31456e-05 / 4.31455e-05 | -0.000145677 / 0.000145676 | -0.000372253 / 0.000372252 | -6.41109e-05 / 6.41108e-05 | -0.000276362 / 0.000276361 | -4.84434e-05 / 4.84434e-05 |
 | EG_RESOLUTION_ALL | 0.000445489 / -0.000445421 | 0.00111251 / -0.00111253 | 4.28861e-05 / -4.28699e-05 | 1.15469e-05 / -1.15002e-05 | 0.000775255 / -0.000775288 | -9.34772e-06 / 9.3524e-06 | -0.00818355 / 0.00818342 | -0.0329522 / 0.0329517 | 1.29579e-05 / -1.29581e-05 | 0.00124532 / -0.00124527 | -0.00169938 / 0.00169938 |
 | EG_SCALE_ALL | 0.00030067 / -0.000300694 | 0.00224876 / -0.00224871 | 0.00137711 / -0.00137711 | 9.21547e-06 / -9.1684e-06 | 0.0016722 / -0.00167226 | -5.06838e-05 / 5.06901e-05 | -0.0202893 / 0.0202864 | 0 / 0 | 0.00448778 / -0.00448792 | 0.000676584 / -0.000676539 | -0.00187872 / 0.0018787 |
 | GlobalReduction_JET_BJES_Response | 0.00773528 / -0.00773567 | 0.00586414 / -0.00586443 | 0.00806624 / -0.00806672 | -2.36621e-05 / 2.37092e-05 | 0.0143739 / -0.0143755 | 0.0134995 / -0.0135009 | 0.0181984 / -0.0182009 | 0.000952631 / -0.000952638 | 0.00402459 / -0.00402471 | 0.0159565 / -0.0159584 | 0.00706934 / -0.00706973 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00245777 / 0.00245782 | -0.00431613 / 0.00431605 | -0.00278549 / 0.00278549 | 3.79941e-05 / -3.80198e-05 | -0.00508886 / 0.00508875 | -0.00452172 / 0.00452167 | -0.0121887 / 0.0121882 | 0.000765058 / -0.000765059 | -0.00169585 / 0.00169584 | -0.00404039 / 0.00404039 | -0.00376204 / 0.003762 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000594749 / -0.000594771 | 0.000616511 / -0.000616535 | 0.00122387 / -0.00122385 | 3.08174e-05 / -3.08427e-05 | 0.00119287 / -0.00119283 | 0.00117047 / -0.00117047 | -7.19109e-06 / 7.15785e-06 | -0.000339885 / 0.000339885 | -4.03409e-05 / 4.03407e-05 | 0.00185505 / -0.00185507 | -0.00102399 / 0.001024 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000244853 / 0.00024483 | 0.00111588 / -0.00111592 | -0.000930743 / 0.000930753 | 2.01015e-05 / -2.00545e-05 | -0.000169405 / 0.000169373 | -0.000650662 / 0.000650664 | 7.80274e-06 / -7.75862e-06 | 0.000362378 / -0.000362379 | -3.36419e-05 / 3.36417e-05 | 0.00112281 / -0.00112284 | -0.00235908 / 0.00235898 |
 | GlobalReduction_JET_EffectiveNP_5 | 7.09995e-06 / -7.12299e-06 | -6.15016e-06 / 6.12549e-06 | 5.05829e-05 / -5.05666e-05 | -5.05534e-05 / 5.06005e-05 | -0.000280688 / 0.000280656 | -2.49915e-05 / 2.49969e-05 | -3.51986e-06 / 3.56413e-06 | -0.000460419 / 0.000460418 | -0.00017256 / 0.00017256 | -1.44709e-05 / 1.44579e-05 | 0.000439189 / -0.000439187 |
 | GlobalReduction_JET_EffectiveNP_8 | -6.80835e-05 / 6.80606e-05 | 5.29268e-06 / -5.3171e-06 | -0.000329327 / 0.000329256 | 3.11007e-05 / -3.11266e-05 | -4.55598e-05 / 4.55286e-05 | -0.000305441 / 0.000305446 | 4.02303e-06 / -3.9792e-06 | 0.000481708 / -0.000481709 | -0.000186051 / 0.000186051 | 2.05149e-05 / -2.05277e-05 | 0.000552311 / -0.000552309 |
 | GlobalReduction_JET_EffectiveNP_7 | -4.19027e-05 / 4.18796e-05 | -3.19639e-07 / 2.94967e-07 | -0.000111224 / 0.000111241 | -1.03479e-05 / 1.03218e-05 | 0.00027361 / -0.000273642 | -2.80664e-05 / 2.80717e-05 | -1.15952e-06 / 1.12508e-06 | -0.000516123 / 0.000516121 | 0.00014214 / -0.000142141 | -4.93326e-06 / 4.92032e-06 | -0.000452669 / 0.000452671 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 0.000174673 / -0.000174696 | 1.92967e-06 / -1.95416e-06 | 4.54669e-05 / -4.54507e-05 | -1.25586e-06 / 1.22992e-06 | -4.62727e-05 / 4.63156e-05 | 0.000400019 / -0.000400014 | 3.48194e-06 / -3.51612e-06 | -0.000544589 / 0.000544589 | -0.000150653 / 0.000150653 | 1.19968e-05 / -1.20097e-05 | 0.000460796 / -0.000460793 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | 0.00169822 / -0.00169825 | 0.00350916 / -0.00350922 | 0.00150948 / -0.00150947 | -0.00011061 / 0.000110584 | 0.00415385 / -0.00415386 | 0.00334692 / -0.00334695 | 0.0245242 / -0.0245265 | 0.00154618 / -0.00154619 | 0.00200697 / -0.00200698 | 0.00795776 / -0.0079579 | 0.00473743 / -0.00473756 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -8.52385e-06 / 8.50063e-06 | -1.24294e-08 / -1.24294e-08 | -3.59335e-08 / -3.59335e-08 | -1.31641e-08 / -1.31641e-08 | -1.59009e-08 / -1.59009e-08 | -3.00909e-08 / -3.00909e-08 | 2.23075e-08 / 2.23075e-08 | 0 / 0 | 5.60172e-08 / 5.60172e-08 | 2.4296e-08 / 2.4296e-08 | 1.53236e-09 / 1.53236e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 8.22175e-05 / -8.22406e-05 | 0.000498771 / -0.000498695 | 0.000111667 / -0.000111651 | -7.34493e-06 / 7.31878e-06 | 0.000641601 / -0.00064156 | 0.00112793 / -0.00112793 | 3.4887e-06 / -3.44438e-06 | 0 / 0 | 0.000335704 / -0.000335705 | -0.00145329 / 0.00145333 | 0.00113391 / -0.00113392 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 0.000135532 / -0.000135555 | 0.00229366 / -0.00229362 | -0.000157448 / 0.000157465 | 1.59964e-06 / -1.62579e-06 | 0.000870484 / -0.000870445 | 0.000686378 / -0.000686375 | 1.79936e-07 / -1.35633e-07 | 0 / 0 | -0.000151535 / 0.000151535 | 0.0024327 / -0.00243275 | 0.00127919 / -0.0012792 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | 0.00225804 / -0.0022581 | 0.00264967 / -0.00264975 | 0.0021785 / -0.00217852 | 0.00306434 / -0.00306443 | 0.00517312 / -0.00517335 | 0.00446356 / -0.0044637 | 0.00658786 / -0.00658814 | -0.000818571 / 0.000818566 | 0.00174556 / -0.00174559 | 0.00514656 / -0.00514677 | 0.00475672 / -0.00475696 |
 | GlobalReduction_JET_Flavor_Composition | 0.0193381 / -0.0193323 | 0.0536146 / -0.0535558 | 0.0218358 / -0.0218284 | 0.138102 / -0.137474 | 0.0359706 / -0.0359476 | 0.0327118 / -0.0326933 | 0.058209 / -0.0581374 | 0.00663432 / -0.00663373 | 0.0153694 / -0.0153659 | 0.0477187 / -0.0476742 | 0.0397024 / -0.0396735 |
 | GlobalReduction_JET_Flavor_Response | -0.0105956 / 0.0105952 | -0.0286772 / 0.0286749 | -0.0104533 / 0.0104529 | -0.0686632 / 0.068663 | -0.0210088 / 0.0210073 | -0.0169533 / 0.0169523 | -0.045391 / 0.0453878 | -0.0214052 / 0.0214038 | -0.000828639 / 0.000828636 | -0.0241597 / 0.0241579 | -0.019821 / 0.0198197 |
 | GlobalReduction_JET_PunchThrough_MC16 | 2.23737e-05 / -2.23969e-05 | 9.06597e-08 / -1.15519e-07 | -3.57913e-08 / 5.21791e-08 | -1.31641e-08 / -1.31641e-08 | -1.59168e-08 / 5.94478e-08 | 0.000126967 / -0.000126961 | 2.23075e-08 / 2.23075e-08 | 0 / 0 | 3.92694e-07 / -3.92885e-07 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | -0.0014801 / 0.00148008 | 0.00841021 / -0.00841091 | -0.00018928 / 0.00018928 | -0.101367 / 0.101319 | 0.00599787 / -0.00599822 | -0.0042196 / 0.00421943 | 0.00471676 / -0.00471697 | -0.0166295 / 0.0166271 | -0.00192863 / 0.00192859 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | -0.00356187 / 0.00356156 | 0.00262288 / -0.00262305 | 0.000795689 / -0.000795705 | 0.0490568 / -0.0491152 | 0.0167927 / -0.0167996 | 0.00151292 / -0.00151298 | -0.0155808 / 0.0155748 | -0.0927867 / 0.0925687 | 0.00588637 / -0.00588722 | -0.0128206 / 0.0128166 | 0.00689953 / -0.0069007 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | -0.00356676 / 0.00356687 | -0.00132174 / 0.00132175 | 0.000238094 / -0.000238093 | 0.0538071 / -0.0537687 | 0.0228703 / -0.0228646 | 0.00589464 / -0.00589431 | 0.0338015 / -0.0337882 | -0.096722 / 0.0967314 | 3.52245e-05 / -3.52245e-05 | -0.0340168 / 0.034024 | 0.0235381 / -0.0235321 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | -0.00219243 / 0.00219267 | -0.00326097 / 0.00326151 | 0.00155616 / -0.00155603 | 0.0308114 / -0.0307601 | 0.0189376 / -0.0189187 | 0.00318784 / -0.00318732 | 0.0211997 / -0.0211759 | -0.0917778 / 0.0921203 | 0.00246301 / -0.0024627 | -0.00977691 / 0.00978165 | 0.0202584 / -0.0202367 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | -0.000675812 / 0.000675804 | -0.00231662 / 0.00231652 | 0.00168652 / -0.00168657 | 0.0516085 / -0.0516541 | 0.0180399 / -0.0180457 | 0.00791528 / -0.00791643 | 0.0276949 / -0.0277085 | -0.0961475 / 0.0959537 | 0.00679637 / -0.00679722 | -0.0170465 / 0.017041 | 0.0162333 / -0.016238 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | -0.00223447 / 0.00223441 | -0.012694 / 0.0126919 | -0.00203295 / 0.0020329 | 0.0519857 / -0.0520116 | 0.0097365 / -0.00973759 | 0.00235879 / -0.00235886 | -0.0209818 / 0.0209761 | -0.0780318 / 0.0779356 | 0.00221346 / -0.00221351 | -0.0213512 / 0.0213452 | 0.015644 / -0.0156468 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | -0.00291697 / 0.00291721 | -0.0069998 / 0.00700117 | -0.00172365 / 0.00172373 | 0.0300481 / -0.0300198 | 0.00481024 / -0.00480957 | 0.0035162 / -0.00351584 | 0.00941283 / -0.00941023 | -0.00744358 / 0.00744512 | 0.00852145 / -0.00851932 | -0.0125049 / 0.0125092 | 0.00435653 / -0.00435598 |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | -0.00136108 / 0.00136105 | 0.00292377 / -0.00292393 | -0.00115715 / 0.00115712 | 0.0426754 / -0.0427101 | 0.0137352 / -0.0137388 | 0.00089224 / -0.000892255 | 0.00202611 / -0.00202618 | -0.00598495 / 0.00598427 | 0.00786173 / -0.0078629 | 0.00349265 / -0.00349288 | 0.0128719 / -0.012875 |
