 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_Light_2 | -4.12761e-05 / 4.12761e-05 | -7.20217e-05 / 7.20217e-05 | -9.69657e-05 / 9.69657e-05 | 0.00234815 / -0.00234815 | -5.65828e-05 / 5.65828e-05 | 1.01852e-05 / -1.01852e-05 | -1.82374e-05 / 1.82374e-05 | 7.5371e-05 / -7.5371e-05 | 7.20916e-05 / -7.20916e-05 | -1.26555e-05 / 1.26555e-05 | -1.69155e-05 / 1.69155e-05 |
 | bTagSF_eigenvars_Light_3 | 6.63244e-06 / -6.63244e-06 | 2.51554e-05 / -2.51554e-05 | 2.8634e-05 / -2.8634e-05 | -0.00214411 / 0.00214411 | 1.1428e-05 / -1.1428e-05 | 2.61555e-06 / -2.61555e-06 | 1.49426e-05 / -1.49426e-05 | -0.0001911 / 0.0001911 | -8.34481e-05 / 8.34481e-05 | 7.42272e-06 / -7.42272e-06 | 9.61591e-06 / -9.61591e-06 |
 | EG_RESOLUTION_ALL | -0.000321037 / 0.000321035 | -0.00173161 / 0.00173161 | -0.00122294 / 0.0012229 | -0.00477179 / 0.00477177 | 0.000125638 / -0.000125575 | 0.000554136 / -0.000554142 | -0.000839891 / 0.000839919 | 0.046837 / -0.046837 | 0.00193046 / -0.00193046 | -0.000665389 / 0.00066539 | 6.45781e-05 / -6.45868e-05 |
 | EG_SCALE_ALL | 0.00101635 / -0.00101635 | -0.00594283 / 0.00594283 | -0.00172405 / 0.001724 | -0.000708132 / 0.000708112 | 0.00107466 / -0.00107469 | 0.000814608 / -0.000814614 | 0.00643897 / -0.00643895 | -0.00819224 / 0.00819217 | 0.00141113 / -0.00141113 | 0.000904637 / -0.000904637 | 0.000562992 / -0.000563 |
 | GlobalReduction_JET_BJES_Response | -0.0107922 / 0.0107922 | -0.00498139 / 0.0049814 | -0.0181395 / 0.0181395 | -0.000483147 / 0.000483126 | 0.0041408 / -0.00414083 | -0.00026281 / 0.000262804 | 0.00304522 / -0.0030452 | -0.0263957 / 0.0263957 | 0.000623392 / -0.000623398 | 0.0012307 / -0.0012307 | -0.000290342 / 0.000290436 |
 | GlobalReduction_JET_EffectiveNP_2 | 0.00660648 / -0.00660648 | 0.00435192 / -0.00435192 | 0.00920964 / -0.00920968 | -5.45982e-05 / 5.45778e-05 | -0.00279882 / 0.00279888 | 0.00189961 / -0.00189961 | 0.00419792 / -0.00419789 | -0.00757986 / 0.00757988 | 0.0020135 / -0.0020135 | 0.00182348 / -0.00182348 | 0.00456432 / -0.00456433 |
 | GlobalReduction_JET_EffectiveNP_3 | -0.00082085 / 0.000820848 | -0.000457875 / 0.000457878 | -0.00257006 / 0.00257002 | 5.93624e-05 / -5.93828e-05 | 0.00252697 / -0.00252701 | -0.000314715 / 0.000314709 | -0.000828899 / 0.000828927 | 0.0168972 / -0.0168972 | -0.0494316 / 0.0494316 | -0.000459936 / 0.000459936 | -0.00227637 / 0.00227636 |
 | GlobalReduction_JET_EffectiveNP_4 | 8.06549e-05 / -8.0657e-05 | 0.00282863 / -0.00282863 | 0.000732884 / -0.000732866 | 0.000461269 / -0.00046129 | -0.00283587 / 0.00283584 | -0.000457099 / 0.000457093 | -0.000751151 / 0.000751179 | 1.78332e-06 / -1.77102e-06 | 0.0495183 / -0.0495183 | 0.000301731 / -0.00030173 | 0.000591649 / -0.000591555 |
 | GlobalReduction_JET_EffectiveNP_5 | -0.000345488 / 0.000345486 | 0.00117431 / -0.0011743 | -0.00112682 / 0.00112683 | 0.00277267 / -0.00277269 | -0.000107191 / 0.000107158 | 0.000299821 / -0.000299827 | 0.0021016 / -0.00210157 | 0.0259185 / -0.0259185 | -0.000695304 / 0.000695298 | -0.000173282 / 0.000173283 | -0.000892046 / 0.000892037 |
 | GlobalReduction_JET_EffectiveNP_8 | 0.00108388 / -0.00108388 | -0.00208972 / 0.00208973 | 0.000408205 / -0.000408187 | 0.00160283 / -0.00160274 | -0.00105862 / 0.00105859 | 0.000276406 / -0.000276413 | -0.00111108 / 0.00111111 | -0.00820582 / 0.00820584 | 0.000352375 / -0.000352381 | 0.000414825 / -0.000414824 | 0.000234255 / -0.000234264 |
 | GlobalReduction_JET_EffectiveNP_7 | -7.72791e-06 / 7.72586e-06 | 0.00364566 / -0.00364566 | -0.000469644 / 0.000469662 | 0.00260564 / -0.00260566 | 0.000763293 / -0.00076323 | -0.000362831 / 0.000362892 | -0.00225533 / 0.00225536 | 1.86231e-06 / 0.00885794 | -2.99843e-05 / 2.9979e-05 | -0.000547704 / 0.000547705 | -0.000238903 / 0.000238894 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 0.000799361 / -0.000799363 | 0.000100232 / -0.000100229 | -0.000987894 / 0.000987912 | -0.00329345 / 0.00329343 | -0.000899134 / 0.000899101 | 0.000109255 / -0.000109261 | -0.00179324 / 0.00179326 | -0.012026 / 0.012026 | 0.000562931 / -0.000562937 | 5.5799e-06 / -5.57917e-06 | 0.00081225 / -0.000812259 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -0.00516092 / 0.00516092 | -0.00377281 / 0.00377281 | -0.00870889 / 0.00870891 | -0.000235978 / 0.000236067 | 0.000553179 / -0.000553213 | -0.00146955 / 0.00146955 | -0.00107915 / 0.00107918 | -0.00427298 / 0.004273 | 5.87166e-05 / -5.8722e-05 | -0.00104464 / 0.00104464 | -0.00223132 / 0.00223131 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | 3.6834e-05 / -3.6836e-05 | -3.19469e-08 / -3.19469e-08 | 8.95764e-09 / 8.95764e-09 | -1.02227e-08 / -1.02227e-08 | 1.1389e-05 / -1.14222e-05 | 6.39871e-07 / -6.45912e-07 | -4.38487e-08 / -4.38487e-08 | -3.33412e-08 / -3.33412e-08 | -2.67342e-09 / -2.67342e-09 | -3.92049e-08 / -3.92049e-08 | -3.70633e-05 / 3.70545e-05 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | -0.000144801 / 0.000144799 | -0.00123905 / 0.00123905 | -0.000335448 / 0.000335466 | 0.00231313 / -0.00231304 | 7.94376e-05 / -7.94708e-05 | -0.000127871 / 0.000127865 | -0.00110842 / 0.00110845 | 0.00729316 / -0.00729315 | 3.66728e-06 / -3.67263e-06 | -0.000307507 / 0.000307508 | 0.000401046 / -0.000401055 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | -0.000780099 / 0.000780096 | -0.000669038 / 0.000669041 | -0.00012927 / 0.000129288 | -0.000483582 / 0.00048367 | -0.000604899 / 0.000604866 | -0.00030585 / 0.000305844 | 0.00127089 / -0.00127086 | 1.57637e-05 / -1.57514e-05 | 9.51433e-06 / -9.51968e-06 | -0.000495945 / 0.000495946 | 0.000194671 / -0.000194679 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | -0.00536965 / 0.00536965 | -0.00446248 / 0.00446249 | -0.00942645 / 0.00942641 | 0.00166764 / -0.00166766 | -0.000363793 / 0.000363856 | -0.00199496 / 0.00199496 | -0.000873674 / 0.000873702 | 0.0241896 / -0.0241896 | -0.00196785 / 0.00196784 | -0.00173563 / 0.00173563 | -0.00170188 / 0.00170187 |
 | GlobalReduction_JET_Flavor_Composition | -0.0533364 / 0.0533364 | -0.0230529 / 0.0230529 | -0.0596638 / 0.0596637 | 0.0416259 / -0.0416259 | -0.00253249 / 0.00253246 | -0.015229 / 0.015229 | -0.023998 / 0.0239979 | 0.0656406 / -0.0656406 | 0.0476487 / -0.0476487 | -0.0171797 / 0.0171797 | -0.0524079 / 0.0524079 |
 | GlobalReduction_JET_Flavor_Response | 0.0283577 / -0.0283577 | 0.0176603 / -0.0176603 | 0.035679 / -0.035679 | -0.017065 / 0.0170649 | 0.000726525 / -0.000726559 | 0.00643957 / -0.00643958 | 0.00926893 / -0.0092689 | -0.00443032 / 0.00443026 | -0.0449011 / 0.044901 | 0.0089436 / -0.0089436 | 0.0255703 / -0.0255703 |
 | GlobalReduction_JET_PunchThrough_MC16 | 9.46268e-05 / -9.46289e-05 | -1.65721e-07 / 1.68715e-07 | 8.95764e-09 / 8.95764e-09 | 4.84883e-05 / -4.84e-05 | -5.62746e-05 / 5.62414e-05 | 2.39193e-05 / -2.39254e-05 | -4.38487e-08 / -4.38487e-08 | -3.33412e-08 / -3.33412e-08 | -2.67342e-09 / -2.67342e-09 |    nan    |    nan    |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | -0.000417464 / 0.000417464 | 0.0103494 / -0.0103494 | 0.0116402 / -0.0116402 | 0.0122161 / -0.0122161 | -0.00431995 / 0.00431995 | -0.00121294 / 0.00121294 | -0.00438115 / 0.00438115 | 0.0124066 / -0.0124066 | 0.00199527 / -0.00199527 |    nan    |    nan    |
 | GlobalReduction_JET_JER_EffectiveNP_1 | -0.00633213 / 0.00633213 | -0.0137341 / 0.0137341 | 0.0262719 / -0.0262719 | 0.0146274 / -0.0146274 | -0.00642551 / 0.00642551 | -0.00503686 / 0.00503686 | 0.0203549 / -0.0203549 | 0.0575603 / -0.0575603 | -0.184956 / 0.184956 | -0.00532133 / 0.00532133 | 0.00090183 / -0.00090183 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | -0.00151542 / 0.00151542 | -0.0279459 / 0.0279459 | 0.0121649 / -0.0121649 | 0.0245601 / -0.0245601 | -0.00791325 / 0.00791325 | -0.00807665 / 0.00807665 | 0.00254796 / -0.00254796 | 0.0347538 / -0.0347538 | 0.016085 / -0.016085 | -0.00699156 / 0.00699156 | -0.000919467 / 0.000919467 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | -0.00216003 / 0.00216003 | -0.0248671 / 0.0248671 | 0.0275369 / -0.0275369 | 0.0132843 / -0.0132843 | -0.00308834 / 0.00308834 | -0.00376941 / 0.00376941 | 0.0106637 / -0.0106637 | 0.0199641 / -0.0199641 | -0.188103 / 0.188103 | -0.00362001 / 0.00362001 | -0.00411107 / 0.00411107 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | -0.00492615 / 0.00492615 | -0.0232605 / 0.0232605 | 0.019345 / -0.019345 | 0.0259084 / -0.0259084 | 0.00138439 / -0.00138439 | -0.00497385 / 0.00497385 | 0.00649809 / -0.00649809 | -0.010846 / 0.010846 | 0.0161747 / -0.0161747 | -0.00415042 / 0.00415042 | -0.00457577 / 0.00457577 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | -0.00948417 / 0.00948417 | -0.00687872 / 0.00687872 | 0.00331764 / -0.00331764 | -0.000503699 / 0.000503699 | -0.00209427 / 0.00209427 | -0.00320001 / 0.00320001 | 0.00479642 / -0.00479642 | 0.0686413 / -0.0686413 | -0.0870301 / 0.0870301 | -0.00528081 / 0.00528081 | -0.0040288 / 0.0040288 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | -0.00279343 / 0.00279343 | -0.020563 / 0.020563 | 0.00805212 / -0.00805212 | -0.00126467 / 0.00126467 | 0.00199086 / -0.00199086 | -0.00279905 / 0.00279905 | 0.00287527 / -0.00287527 | 0.0786003 / -0.0786003 | -0.18628 / 0.18628 | -0.00552315 / 0.00552315 | -0.00190083 / 0.00190083 |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | -0.00330033 / 0.00330033 | -0.00868595 / 0.00868595 | 0.0187322 / -0.0187322 | 0.0173656 / -0.0173656 | -0.00228388 / 0.00228388 | -0.00337671 / 0.00337671 | 0.00512396 / -0.00512396 | 0.0162763 / -0.0162763 | -0.184619 / 0.184619 | -0.00344099 / 0.00344099 | 0.000175909 / -0.000175909 |
 | GlobalReduction_JET_Pileup_OffsetMu | -0.00806189 / 0.00806189 | -0.00479632 / 0.00479632 | -0.01049 / 0.01049 | 0.00834424 / -0.00834426 | -0.00305629 / 0.00305625 | -0.00419088 / 0.00419087 | -0.00853191 / 0.00853194 | 0.0136814 / -0.0136814 | 0.0509984 / -0.0509984 | -0.00243327 / 0.00243327 | -0.00691682 / 0.00691681 |
 | GlobalReduction_JET_Pileup_OffsetNPV | -0.0185486 / 0.0185486 | -0.0119022 / 0.0119022 | -0.0192312 / 0.0192312 | 0.0140569 / -0.0140569 | 0.000986207 / -0.000986144 | -0.0052327 / 0.00523269 | -0.00232325 / 0.00232327 | -0.00189726 / 0.00189727 | 0.00207079 / -0.00207079 | -0.00414306 / 0.00414306 | -0.0136468 / 0.0136468 |
 | GlobalReduction_JET_Pileup_PtTerm | -0.00168213 / 0.00168213 | 0.00189957 / -0.00189956 | -3.26417e-05 / 3.26596e-05 | -0.00111058 / 0.00111056 | 0.000192627 / -0.000192661 | 5.68083e-05 / -5.68143e-05 | 0.0014434 / -0.00144337 | 0.0196766 / -0.0196766 | -0.00066159 / 0.000661585 | -0.000718969 / 0.000718969 | -0.00133655 / 0.00133654 |
 | GlobalReduction_JET_Pileup_RhoTopology | -0.0550707 / 0.0550706 | -0.0316555 / 0.0316555 | -0.0692628 / 0.0692628 | 0.0325911 / -0.0325911 | 0.00608485 / -0.00608488 | -0.0125852 / 0.0125852 | -0.0123512 / 0.0123511 | 0.058203 / -0.058203 | 0.0960341 / -0.0558646 | -0.0110118 / 0.0110118 | -0.0394623 / 0.0394623 |
 | GlobalReduction_JET_SingleParticle_HighPt | -1.02629e-09 / -1.02629e-09 | -3.19469e-08 / -3.19469e-08 | 8.95764e-09 / 8.95764e-09 | -1.02227e-08 / -1.02227e-08 | 3.15279e-08 / 3.15279e-08 | 3.08157e-08 / 3.08157e-08 | -4.38487e-08 / -4.38487e-08 | -3.33412e-08 / -3.33412e-08 | -2.67342e-09 / -2.67342e-09 | -3.92049e-08 / -3.92049e-08 | 4.71621e-08 / 4.71621e-08 |
 | MET_SoftTrk_ResoPara | 0.00346355 / -0.00346355 | 0.00455633 / -0.00455633 | -0.00231737 / 0.00231737 | 0.00231715 / -0.00231715 | 0.000860986 / -0.000860986 | 0.00310175 / -0.00310175 | 0.00845963 / -0.00845963 | -0.0136609 / 0.0136609 | -0.0995235 / 0.0995235 | 0.00211765 / -0.00211765 | 0.00843432 / -0.00843432 |
 | MET_SoftTrk_ResoPerp | -0.00039566 / 0.00039566 | -0.00875484 / 0.00875484 | 0.00715044 / -0.00715044 | -0.00274833 / 0.00274833 | -0.000244732 / 0.000244732 | 0.00372258 / -0.00372258 | -0.00998125 / 0.00998125 | -0.03772 / 0.03772 | 0.0160944 / -0.0160944 | 0.00262654 / -0.00262654 | 0.010262 / -0.010262 |
 | MET_SoftTrk_Scale | 0.00298363 / -0.00298364 | 0.00217474 / -0.00217474 | 0.00744026 / -0.00744031 | -3.20888e-05 / 3.20684e-05 | 0.00359535 / -0.00359528 | 0.00355732 / -0.00355732 | 0.0026625 / -0.00266259 | -0.0391185 / 0.0391185 | -0.0494857 / 0.0494857 | 0.00252429 / -0.00252429 | 0.00312176 / -0.00312176 |
