 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_2 | -0.000121757 / 0.000121757 | 9.29898e-06 / -9.29898e-06 | -9.32009e-05 / 9.32008e-05 | 3.47468e-05 / -3.47468e-05 | 0.000531352 / -0.000531354 | 3.72983e-05 / -3.72983e-05 | 3.60578e-05 / -3.60578e-05 | 0.00120785 / -0.00120786 | 0.000539979 / -0.000539981 | 5.65992e-05 / -5.65992e-05 | 0.00216308 / -0.00216311 |
 | bTagSF_eigenvars_C_3 | 3.36398e-05 / -3.36398e-05 | 1.37882e-05 / -1.37882e-05 | 5.07371e-05 / -5.07371e-05 | -3.82234e-05 / 3.82234e-05 | -0.000282395 / 0.000282395 | 4.9694e-06 / -4.9694e-06 | 3.24159e-05 / -3.24159e-05 | -0.000105675 / 0.000105675 | -0.000944591 / 0.000944585 | -4.52577e-05 / 4.52577e-05 | 0.000170461 / -0.000170461 |
 | bTagSF_eigenvars_Light_0 | 0.000665391 / -0.000665387 | 0.000526299 / -0.000526297 | 0.00108438 / -0.00108437 | -0.128144 / 0.128147 | -0.00199443 / 0.00199447 | -0.00119729 / 0.0011973 | 0.0010077 / -0.00100769 | 0.000545206 / -0.000545203 | -0.0080996 / 0.0081002 | -0.00116309 / 0.00116311 | -0.00116193 / 0.00116194 |
 | bTagSF_eigenvars_Light_1 | -1.19702e-05 / 1.19702e-05 | 2.87307e-05 / -2.87307e-05 | -0.000116256 / 0.000116256 | -0.0138026 / 0.0138021 | -0.000244132 / 0.000244132 | -0.00025997 / 0.00025997 | -0.000347628 / 0.000347627 | -0.000653737 / 0.000653736 | -0.00116061 / 0.0011606 | 4.16874e-05 / -4.16874e-05 | 0.000418748 / -0.000418749 |
 | bTagSF_eigenvars_Light_2 | -1.29894e-05 / 1.29894e-05 | 3.03876e-05 / -3.03876e-05 | 6.97266e-06 / -6.97266e-06 | -0.0102338 / 0.0102331 | -0.000151564 / 0.000151564 | -0.000208106 / 0.000208105 | 8.99029e-05 / -8.99029e-05 | -0.000400996 / 0.000400995 | -0.000819976 / 0.000819971 | 1.74402e-05 / -1.74402e-05 | -0.000240842 / 0.000240841 |
 | bTagSF_eigenvars_Light_3 | 3.76091e-05 / -3.76091e-05 | 2.01453e-05 / -2.01453e-05 | 4.13672e-05 / -4.13672e-05 | -0.00444121 / 0.00444107 | -4.93774e-05 / 4.93774e-05 | 2.68081e-06 / -2.68081e-06 | 4.95006e-05 / -4.95006e-05 | -0.000181021 / 0.000181021 | -0.000413492 / 0.00041349 | 6.27314e-06 / -6.27314e-06 | 5.2969e-06 / -5.2969e-06 |
 | EG_RESOLUTION_ALL | -0.00114194 / 0.00114196 | 0.00428979 / -0.0042895 | -0.00191492 / 0.00191489 | 0.000840477 / -0.000840511 | 4.86007e-05 / -4.8575e-05 | -0.0015919 / 0.0015919 | -0.00828681 / 0.00828771 | 0.0510725 / -0.0510482 | 0.00244897 / -0.00244898 | 0.00024287 / -0.000242853 | 0.000854975 / -0.000854959 |
 | EG_SCALE_ALL | 0.00151674 / -0.00151674 | 0.00189235 / -0.00189239 | -0.000822109 / 0.000822153 | 0.00129288 / -0.00129284 | 0.000983668 / -0.000983638 | -0.00178145 / 0.00178143 | 0.00639406 / -0.0063939 | -0.00890425 / 0.00890451 | -0.00190283 / 0.00190277 | 0.00966418 / -0.00966374 | -0.00212705 / 0.00212706 |
 | GlobalReduction_JET_BJES_Response | 0.000615324 / -0.000615331 | 0.00478391 / -0.00478405 | -0.00125277 / 0.00125281 | -8.95121e-05 / 8.94686e-05 | 0.00328897 / -0.00328899 | 0.00521636 / -0.00521651 | 0.00806388 / -0.00806406 | 0.0756185 / -0.0756306 | -0.00222501 / 0.00222502 | -0.00180697 / 0.00180697 | 0.00403424 / -0.0040343 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00309336 / -0.00309282 | 0.010486 / -0.0104797 | 0.00397682 / -0.00397589 | 0.00663722 / -0.00663469 | 0.0102779 / -0.0102718 | 0.00713004 / -0.00712719 | 0.0103342 / -0.0103281 | -0.0018049 / 0.0665858 | 0.00703329 / -0.00703055 | 0.0324026 / -0.0323401 | 0.0148435 / -0.0148308 |
 | GlobalReduction_JET_EffectiveNP_2 | 0.000399182 / -0.000399189 | 0.000984553 / -0.000984498 | 0.000627453 / -0.000627518 | -0.00269639 / 0.00269629 | -0.00332321 / 0.00332309 | 0.00134282 / -0.00134278 | -0.00418193 / 0.00418178 | -0.0424853 / 0.0424681 | -0.00431844 / 0.00431832 | 0.00799385 / -0.0079943 | -0.00686461 / 0.00686422 |
 | GlobalReduction_JET_EffectiveNP_3 | -0.00200351 / 0.00200363 | 0.00486398 / -0.00486327 | -0.00140857 / 0.00140867 | 0.00347761 / -0.00347727 | -0.00133638 / 0.0013364 | 0.000572872 / -0.000572805 | -0.0155913 / 0.0155986 | -0.0394214 / 0.0394643 | 0.0841293 / -0.0424844 | 0.00150068 / -0.0015006 | 0.00428183 / -0.00428124 |
 | GlobalReduction_JET_EffectiveNP_4 | 0.000398313 / -0.000398317 | -0.00347254 / 0.00347253 | -0.00026833 / 0.000268368 | 0.00114108 / -0.00114105 | -0.00102891 / 0.00102894 | 0.00511867 / -0.00511861 | 0.00714958 / -0.0071494 | -0.113093 / 0.113061 | -0.0443541 / 0.0443561 | -0.00328345 / 0.0032835 | -0.00844586 / 0.00844606 |
 | GlobalReduction_JET_EffectiveNP_5 | 7.92606e-05 / -7.91803e-05 | -0.000378697 / 0.000378759 | 0.00105636 / -0.00105633 | -0.00041539 / 0.00041542 | -0.000555082 / 0.000555106 | 0.000122824 / -0.000122764 | -0.0112473 / 0.0112462 | 0.106591 / -0.106688 | 0.000471384 / -0.000471465 | 0.00205217 / -0.00205218 | 0.00587048 / -0.00587077 |
 | GlobalReduction_JET_EffectiveNP_8 | -0.000413378 / 0.000413374 | -0.000834014 / 0.000833974 | -0.00369006 / 0.00369022 | -0.00273503 / 0.00273513 | 0.00150679 / -0.00150674 | -0.000157949 / 0.000158007 | 0.00787354 / -0.00787295 | -0.0284503 / 0.0284563 | -0.00236749 / 0.00236757 | 0.0085331 / -0.00853234 | -0.00739526 / 0.00739562 |
 | GlobalReduction_JET_EffectiveNP_7 | 1.09139e-05 / -1.09198e-05 | 9.04238e-05 / -9.04716e-05 | 0.00115364 / -0.00115371 | 0.00389093 / -0.003891 | 0.000134632 / -0.000134666 | 0.000536298 / -0.000536336 | 0.0141643 / -0.0141656 | -0.0782975 / 0.0782653 | 0.000429684 / -0.000429764 | 0.00717704 / -0.00717736 | 0.0046045 / -0.00460463 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 0.000351366 / -0.000351287 | 0.00146727 / -0.00146731 | -0.000312639 / 0.00031268 | 0.000809964 / -0.00080993 | 0.00188031 / -0.00188027 | -0.00244715 / 0.00244713 | -0.000839927 / 0.000840012 | 0.00102881 / -0.00102881 | -0.00206346 / 0.0020634 | -0.00434911 / 0.00434921 | -0.00264191 / 0.00264193 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | -0.00101376 / 0.00101387 | 0.0125149 / -0.0125104 | -0.00660061 / 0.00660182 | 0.00514654 / -0.00514578 | 0.0104373 / -0.0104342 | 0.013235 / -0.0132301 | -0.00427835 / 0.00427883 | -0.015993 / 0.0177865 | 0.0861347 / -0.0460395 | 0.00833887 / -0.0083369 | 0.000286118 / -0.000286206 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -0.000106334 / 0.000106328 | -0.00279295 / 0.00279302 | -0.000236364 / 0.000236303 | 0.00715817 / -0.00715812 | 0.00251092 / -0.00251089 | 0.00809252 / -0.00809243 | -0.00628334 / 0.00628337 | -0.188696 / 0.189085 | 0.00397901 / -0.00397897 | -0.00152538 / 0.00152539 | -0.00363306 / 0.00363308 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -9.18875e-05 / 9.18816e-05 | -2.4065e-08 / -2.4065e-08 | -4.95441e-08 / 9.11851e-08 | -0.000120362 / 0.000120394 | 1.12889e-05 / -1.12624e-05 | -1.42899e-05 / 1.42542e-05 | 4.18784e-08 / 4.18784e-08 | -1.74651e-09 / -1.74651e-09 | -3.95272e-08 / -3.95272e-08 | 1.49751e-05 / -1.49578e-05 | 0.000161562 / -0.000161555 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 9.03837e-05 / -9.03895e-05 | 1.92426e-06 / -1.86099e-06 | -0.00119016 / 0.00119009 | 0.000813699 / -0.000813746 | -0.000292831 / 0.000292858 | 0.000414929 / -0.00041487 | 0.00568292 / -0.00568315 | -0.0266176 / 0.0266127 | 0.00234 / -0.00234 | 0.00238767 / -0.00238769 | 0.00267247 / -0.00267251 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 0.000808992 / -0.000809002 | -0.000592636 / 0.000592586 | 0.000635278 / -0.000635239 | 0.000752583 / -0.000752631 | 0.000284888 / -0.000284923 | 0.00204073 / -0.00204079 | -0.00169755 / 0.00169753 | -0.00152962 / 0.0015296 | 0.00196835 / -0.00196834 | 0.000884622 / -0.000884604 | 8.29138e-05 / -8.2911e-05 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | 0.000114239 / -0.000114245 | 0.00207554 / -0.00207563 | -0.00187654 / 0.00187645 | -0.000899107 / 0.000899132 | 0.00378348 / -0.00378363 | -0.00209239 / 0.00209242 | -0.0146188 / 0.014617 | 0.105288 / -0.105386 | 0.000330718 / -0.000330688 | 0.00184828 / -0.00184849 | 0.00105508 / -0.00105508 |
 | GlobalReduction_JET_Flavor_Composition | -0.00471167 / 0.00473277 | 0.0207466 / -0.0203469 | -0.00720544 / 0.00725488 | 0.0327581 / -0.0317723 | 0.0200509 / -0.0196774 | 0.00936959 / -0.00928724 | 0.004951 / -0.00492791 | 0.194175 / -0.16366 | 0.0569348 / -0.049302 | 0.0197388 / -0.0193767 | 0.00466725 / -0.00464674 |
 | GlobalReduction_JET_Flavor_Response | 0.00132113 / -0.00132082 | -0.0132097 / 0.0132415 | 0.00590213 / -0.00589588 | -0.0133785 / 0.0134111 | -0.0148942 / 0.0149347 | -0.00359748 / 0.00359979 | 0.0195492 / -0.019482 | 0.0750211 / -0.0740956 | -0.0443759 / 0.0447479 | -0.000740598 / 0.00074071 | -0.00341004 / 0.00341211 |
 | GlobalReduction_JET_PunchThrough_MC16 | 2.74466e-05 / -2.73658e-05 | -0.000433242 / 0.000433305 | 5.7941e-05 / -5.78994e-05 | -0.000217469 / 0.0002175 | 5.71097e-05 / -5.70833e-05 | -0.000193525 / 0.000193588 | 4.18784e-08 / 4.18784e-08 | -1.74651e-09 / -1.74651e-09 | 3.18316e-05 / -3.18007e-05 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | 0.00263947 / -0.00263929 | 0.0119076 / -0.0119041 | 0.0063695 / -0.00636846 | 0.00300741 / -0.00300718 | 0.00317528 / -0.00317501 | 0.0019094 / -0.00190931 | -0.0328138 / 0.0328457 | 0.295696 / -0.296093 | -0.00207816 / 0.00207827 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | 0.0107506 / -0.010754 | 0.0183945 / -0.0184044 | 0.0045401 / -0.00454071 | 0.0172972 / -0.0173061 | 0.0105338 / -0.0105371 | 0.0182807 / -0.0182906 | -0.0460394 / 0.0459764 | -0.0539072 / 0.0538206 | 0.171649 / -0.172508 | 0.033751 / -0.0337846 | -0.0074132 / 0.00741158 |
