 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_Light_3 | -1.74939e-06 / 1.74939e-06 | 9.86598e-05 / -9.86599e-05 | 2.76894e-05 / -2.76894e-05 | -0.00740744 / 0.00740707 | -0.00029346 / 0.00029346 | -4.31411e-05 / 4.31411e-05 | -0.000145685 / 0.000145685 | -0.000372249 / 0.000372248 | -6.40996e-05 / 6.40996e-05 | -0.000276362 / 0.000276362 | -4.84361e-05 / 4.84361e-05 |
 | EG_RESOLUTION_ALL | 0.000445267 / -0.000445197 | 0.00111192 / -0.00111192 | 4.28708e-05 / -4.28548e-05 | 1.15417e-05 / -1.14957e-05 | 0.000774978 / -0.000775002 | -9.36311e-06 / 9.36769e-06 | -0.00818042 / 0.00818127 | -0.0329523 / 0.0329685 | 1.29513e-05 / -1.29515e-05 | 0.00124466 / -0.00124459 | -0.00169843 / 0.00169846 |
 | EG_SCALE_ALL | 0.000300923 / -0.000300945 | 0.00225199 / -0.0022519 | 0.00137888 / -0.00137886 | 9.22671e-06 / -9.18e-06 | 0.00167432 / -0.00167434 | -5.08667e-05 / 5.08732e-05 | -0.0203047 / 0.0203059 | 0 / 0 | 0.00449455 / -0.00449447 | 0.000677524 / -0.000677474 | -0.00188125 / 0.00188127 |
 | GlobalReduction_JET_BJES_Response | 0.00773159 / -0.00773177 | 0.00586116 / -0.00586133 | 0.00806248 / -0.00806273 | -2.36483e-05 / 2.36952e-05 | 0.014369 / -0.0143699 | 0.0134947 / -0.0134954 | 0.0181935 / -0.0181947 | 0.000952058 / -0.000952062 | 0.0040224 / -0.00402247 | 0.0159515 / -0.0159525 | 0.00706582 / -0.00706603 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.0104389 / -0.0104327 | 0.0183556 / -0.0183361 | 0.0109398 / -0.0109331 | 0.0609885 / -0.0607567 | 0.0226543 / -0.0226243 | 0.0148176 / -0.014805 | 0.0292536 / -0.0292031 | 0.0223499 / -0.0223207 | 0.00260601 / -0.00260563 | 0.0192412 / -0.0192197 | 0.0191472 / -0.0191259 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00245065 / 0.00245067 | -0.0043036 / 0.00430343 | -0.00277734 / 0.00277729 | 3.78828e-05 / -3.79085e-05 | -0.00507431 / 0.00507408 | -0.0045086 / 0.00450845 | -0.012154 / 0.0121527 | 0.000762814 / -0.000762819 | -0.00169091 / 0.00169088 | -0.00402866 / 0.00402858 | -0.00375114 / 0.00375103 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000595231 / -0.000595241 | 0.000616994 / -0.000617005 | 0.00122485 / -0.00122478 | 3.08419e-05 / -3.08663e-05 | 0.0011938 / -0.00119372 | 0.00117137 / -0.00117132 | -7.19489e-06 / 7.1627e-06 | -0.000340135 / 0.000340139 | -4.03711e-05 / 4.0371e-05 | 0.00185662 / -0.00185652 | -0.00102465 / 0.00102469 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000244838 / 0.000244816 | 0.00111577 / -0.00111579 | -0.000930589 / 0.000930608 | 2.00974e-05 / -2.0051e-05 | -0.000169365 / 0.000169334 | -0.000650565 / 0.000650571 | 7.80042e-06 / -7.75675e-06 | 0.000362334 / -0.000362334 | -3.36374e-05 / 3.36373e-05 | 0.0011227 / -0.00112271 | -0.00235861 / 0.00235857 |
 | GlobalReduction_JET_EffectiveNP_5 | 7.09823e-06 / -7.12126e-06 | -6.14558e-06 / 6.12093e-06 | 5.05458e-05 / -5.05295e-05 | -5.05148e-05 / 5.05619e-05 | -0.000280486 / 0.000280454 | -2.49739e-05 / 2.49792e-05 | -3.517e-06 / 3.56124e-06 | -0.00046007 / 0.000460068 | -0.000172429 / 0.000172429 | -1.44599e-05 / 1.4447e-05 | 0.000438835 / -0.000438834 |
 | GlobalReduction_JET_EffectiveNP_8 | -6.79249e-05 / 6.79025e-05 | 5.28111e-06 / -5.30511e-06 | -0.000328549 / 0.000328481 | 3.10291e-05 / -3.10545e-05 | -4.544e-05 / 4.54094e-05 | -0.000304738 / 0.000304744 | 4.01233e-06 / -3.96926e-06 | 0.000480594 / -0.000480591 | -0.000185617 / 0.000185617 | 2.04676e-05 / -2.04802e-05 | 0.000551013 / -0.000551007 |
 | GlobalReduction_JET_EffectiveNP_7 | -4.1878e-05 / 4.18549e-05 | -3.19549e-07 / 2.94907e-07 | -0.000111158 / 0.000111174 | -1.03421e-05 / 1.0316e-05 | 0.000273476 / -0.000273508 | -2.80441e-05 / 2.80495e-05 | -1.15899e-06 / 1.12459e-06 | -0.000515829 / 0.000515827 | 0.000142059 / -0.000142059 | -4.93049e-06 / 4.91756e-06 | -0.000452392 / 0.000452394 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 0.00017443 / -0.000174453 | 1.92743e-06 / -1.95167e-06 | 4.5392e-05 / -4.53759e-05 | -1.25357e-06 / 1.2279e-06 | -4.62442e-05 / 4.62867e-05 | 0.000399464 / -0.000399458 | 3.4777e-06 / -3.51154e-06 | -0.000543814 / 0.000543816 | -0.00015044 / 0.00015044 | 1.19801e-05 / -1.19928e-05 | 0.000460131 / -0.000460127 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | 0.00890808 / -0.00890579 | 0.0149772 / -0.0149708 | 0.00847417 / -0.00847214 | 0.0309526 / -0.0309238 | 0.0195749 / -0.0195637 | 0.0181644 / -0.0181549 | 0.0286908 / -0.0286662 | 0.0256032 / -0.0255838 | 0.00601341 / -0.0060124 | 0.0184662 / -0.0184563 | 0.01525 / -0.0152434 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | 0.00169463 / -0.00169465 | 0.00350168 / -0.0035017 | 0.00150626 / -0.00150624 | -0.000110378 / 0.000110352 | 0.00414506 / -0.00414501 | 0.00333977 / -0.00333976 | 0.0244678 / -0.0244681 | 0.00154291 / -0.00154291 | 0.00200271 / -0.00200271 | 0.00794052 / -0.00794045 | 0.0047273 / -0.00472735 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -8.52385e-06 / 8.50063e-06 | -1.24294e-08 / -1.24294e-08 | -3.59335e-08 / -3.59335e-08 | -1.31641e-08 / -1.31641e-08 | -1.59009e-08 / -1.59009e-08 | -3.00909e-08 / -3.00909e-08 | 2.23075e-08 / 2.23075e-08 | 0 / 0 | 5.60172e-08 / 5.60172e-08 | 2.4296e-08 / 2.4296e-08 | 1.53236e-09 / 1.53236e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 8.22196e-05 / -8.22426e-05 | 0.000498748 / -0.000498672 | 0.000111648 / -0.000111632 | -7.34452e-06 / 7.31837e-06 | 0.000641562 / -0.000641522 | 0.00112785 / -0.00112786 | 3.48844e-06 / -3.44412e-06 | 0 / 0 | 0.000335688 / -0.000335689 | -0.00145322 / 0.00145325 | 0.00113386 / -0.00113387 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 0.000135515 / -0.000135538 | 0.00229346 / -0.00229341 | -0.000157396 / 0.000157413 | 1.59943e-06 / -1.62556e-06 | 0.000870339 / -0.0008703 | 0.000686307 / -0.000686305 | 1.80056e-07 / -1.35772e-07 | 0 / 0 | -0.000151522 / 0.000151522 | 0.00243248 / -0.00243253 | 0.00127901 / -0.00127902 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | 0.00225605 / -0.00225612 | 0.0026473 / -0.00264738 | 0.00217654 / -0.00217656 | 0.0030616 / -0.0030617 | 0.00516862 / -0.00516887 | 0.00445959 / -0.00445975 | 0.00658191 / -0.00658223 | -0.000817846 / 0.000817841 | 0.00174401 / -0.00174403 | 0.00514193 / -0.00514216 | 0.00475248 / -0.00475273 |
 | GlobalReduction_JET_Flavor_Composition | 0.0203997 / -0.0200132 | 0.0583252 / -0.0552696 | 0.0230855 / -0.0225917 | 0.162629 / -0.140857 | 0.0385133 / -0.0371576 | 0.0349214 / -0.0338032 | 0.0635888 / -0.0599734 | 0.00692036 / -0.00687533 | 0.016156 / -0.0159127 | 0.0516344 / -0.0492256 | 0.0426503 / -0.0409938 |
