NUISANCE_PARAMETERS
gamma_stat_SR2_bin_1  0.999667 +0.0251396 -0.0251396
gamma_stat_SR2_bin_2  0.988656 +0.0253607 -0.0253607
gamma_stat_SR2_bin_3  1.00073 +0.0237235 -0.0237235
gamma_stat_SR2_bin_4  1.0068 +0.0252124 -0.0252124
gamma_stat_SR2_bin_5  1.0026 +0.0278613 -0.0278613
gamma_stat_SR2_bin_6  1.00195 +0.0242367 -0.0242367
gamma_stat_SR2_bin_7  0.99845 +0.0284761 -0.0284761
gamma_stat_SR2_bin_8  1.0067 +0.0272289 -0.0272289
gamma_stat_SR2_bin_9  0.99901 +0.0202233 -0.0202233
gamma_stat_SR3_bin_0  1.00291 +0.0182669 -0.0182669
gamma_stat_SR3_bin_1  0.998056 +0.0189047 -0.0189047
gamma_stat_SR3_bin_2  0.99937 +0.020641 -0.020641
gamma_stat_SR3_bin_3  0.998101 +0.0203451 -0.0203451
gamma_stat_SR3_bin_4  0.996868 +0.0225231 -0.0225231
gamma_stat_SR3_bin_5  0.998962 +0.0287894 -0.0287894
gamma_stat_SR3_bin_6  1.00628 +0.0267944 -0.0267944
gamma_stat_SR3_bin_7  1.00182 +0.0317073 -0.0317073
gamma_stat_SR3_bin_8  1.00174 +0.0474495 -0.0474495
gamma_stat_SR3_bin_9  1.00102 +0.0424135 -0.0424135
gamma_stat_TTCR_bin_0  1.00827 +0.0407315 -0.0407315
gamma_stat_TTCR_bin_1  0.987475 +0.037856 -0.037856
gamma_stat_TTCR_bin_2  0.995236 +0.0363766 -0.0363766
gamma_stat_TTCR_bin_3  0.997247 +0.0408618 -0.0408618
gamma_stat_TTCR_bin_4  1.00809 +0.038864 -0.038864
gamma_stat_TTCR_bin_5  1.00921 +0.0376976 -0.0376976
gamma_stat_TTCR_bin_6  0.999746 +0.0312621 -0.0312621
gamma_stat_TTCR_bin_7  0.996882 +0.030073 -0.030073
gamma_stat_TTZCR_bin_0  1.00093 +0.0181848 -0.0181848
gamma_stat_TTZCR_bin_1  1.00133 +0.0172886 -0.0172886
gamma_stat_TTZCR_bin_2  1.00191 +0.0181295 -0.0181295
gamma_stat_TTZCR_bin_3  0.99787 +0.016273 -0.016273
gamma_stat_TTZCR_bin_4  0.999832 +0.0158071 -0.0158071
gamma_stat_TTZCR_bin_5  0.998904 +0.0160328 -0.0160328
gamma_stat_TTZCR_bin_6  1.00083 +0.01467 -0.01467
gamma_stat_TTZCR_bin_7  0.999516 +0.0146279 -0.0146279
mu_ttbar_Wt  0.893036 +0.235371 -0.235371


CORRELATION_MATRIX
166   166
-0.000126241   -9.02758e-06   -4.54295e-05   -3.84845e-05   -4.78236e-05   -4.96877e-05   -5.73212e-05   -7.21999e-05   -6.58223e-05   0.00231962   0.00166802   -0.000513727   -0.00174909   -0.00167621   -0.00136662   -0.000126878   0.00121088   0.000121421   -0.000712711   0.00016141   8.96006e-05   -0.00044935   0.000111412   1.7786e-05   -0.000183729   -7.79611e-05   0.000102475   0.000479565   0.000295898   0.00124727   -0.00094232   -0.000415237   -0.000780701   -0.00084528   1.0592e-05   0.00171099   0.00498589   7.08709e-05   0.000272847   0.000284398   0.0002691   0.00041188   0.00059285   0.000377551   0.000100045   -3.79595e-05   -0.000112376   0.00191586   -0.000412847   0.00272737   -0.00203671   -0.000809541   -0.00133194   -0.00275129   -0.0101358   -0.0019766   -0.00107608   -0.000843772   0.000123056   -0.000150241   0.000145404   0.000119632   0.000148351   0.00394868   3.31078e-10   0.000268534   0.00053662   -0.00050067   -0.00194111   0.000584145   0.000598563   -0.000608984   -0.00065478   -0.000764477   0.000172263   0.00111491   -0.000133956   0.000588729   0.000360842   0.000862171   3.31078e-10   0.00334148   -0.00107665   4.82569e-05   -0.0024515   -0.000133466   -0.000417241   -0.000461016   0.000900747   -1.3805e-05   -4.07551e-05   -0.00103373   0.00189111   1.54876e-06   -7.51564e-07   8.83647e-05   -5.65013e-05   -0.000366934   0.00139875   0.000745283   -0.00125732   -4.80964e-05   0.0001235   0.000307887   0.000422735   0.00279542   -0.00386639   -0.016455   0.00534434   0.000809434   0.0016022   0.00072775   0.00456264   -0.0200867   0.00236127   -0.00758884   1.55075e-06   -9.50452e-06   1.93155e-06   -8.51972e-08   -0.00158864   -4.25337e-05   -2.67566e-05   -3.08207e-06   0.000118944   -8.56966e-05   0.000661773   -0.000709958   0.000255492   0.00182531   3.31078e-10   0.00481031   0.000342531   0.00207798   -0.00143446   -0.00136603   0.00532847   0.0017387   0.00485541   0.00325685   0.00290072   0.00389866   -0.000346481   3.31078e-10   -0.00275467   0.00223659   -0.000395013   -9.94528e-05   5.20847e-05   -0.000331171   -0.00089483   0.000346258   4.42328e-05   -0.000214744   -3.63007e-05   -2.29067e-05   0.00093847   0.000570102   0.00261868   0.000331166   2.96972e-08   -1.34941e-05   -0.000389999   -0.00136314   0.000388432   1   
