NUISANCE_PARAMETERS
#mu  0.004548 +0.204994 -0.204994
gamma_stat_TTCR_bin_5  1.00923 +0.0376993 -0.0376993
gamma_stat_TTCR_bin_6  0.999707 +0.0312619 -0.0312619
gamma_stat_TTCR_bin_7  0.996872 +0.0300733 -0.0300733
gamma_stat_TTZCR_bin_0  1.00071 +0.0181811 -0.0181811
gamma_stat_TTZCR_bin_1  1.00107 +0.0172845 -0.0172845
gamma_stat_TTZCR_bin_2  1.00166 +0.0181252 -0.0181252
gamma_stat_TTZCR_bin_3  0.997644 +0.0162695 -0.0162695
gamma_stat_TTZCR_bin_4  0.999677 +0.0158048 -0.0158048
gamma_stat_TTZCR_bin_5  0.998757 +0.0160305 -0.0160305
gamma_stat_TTZCR_bin_6  1.00074 +0.0146687 -0.0146687
gamma_stat_TTZCR_bin_7  0.999455 +0.014627 -0.014627
mu_ttbar_Wt  0.931961 +0.253562 -0.253562


CORRELATION_MATRIX
154   154
-0.00173654   0.00143097   0.00151632   0.0012043   0.00152146   0.00111922   0.000241138   0.00103497   0.000926322   0.00278645   0.00285744   0.00208401   0.00165701   0.00148257   0.000541939   -9.54192e-05   -4.08716e-05   -0.00999335   -0.00575554   -0.00378971   -0.000103046   8.14267e-05   0.00204461   0.0054547   0.00614635   0.00761702   0.0116496   -0.0494252   -0.0450101   -0.0249648   -0.0176253   -0.0134268   -0.00283944   -0.00075648   -2.04609e-06   0.00291542   0.00158225   -0.00336504   -0.00170412   -0.0081477   -0.0006316   -0.00143815   0.000402317   0.00262223   0.0123402   0.00742793   0.00968549   0.013818   0.0116665   0.0111759   0.0127192   0.0107811   0.00434788   -0.00610975   -0.00192771   -0.0120879   0.0379196   5.32224e-05   -0.00740643   0.00194997   0.000287965   0.0833516   -0.0928872   0.0139092   -0.113139   0.00300839   -0.00129167   0.0616408   -0.159498   -0.0736366   -0.00376209   0.0462271   -0.0334485   0.000926042   0.000498732   -0.00388816   -0.00400084   -0.0147041   -1.17171e-05   -8.55912e-05   -0.00252209   0.0109512   2.45705e-06   2.19118e-06   0.000395044   0.000121375   -0.0026302   -0.00282789   -0.0269758   0.013837   0.0321002   0.0113193   0.0068873   -0.010572   -0.00569063   0.0181883   0.0375714   -0.0802651   0.0733026   0.0559286   -0.0845326   -0.0737928   0.0602792   -0.00416284   -0.114469   0.000834087   -0.000503169   -2.63938e-06   -2.20261e-06   -0.0467518   0.00040865   -2.65457e-05   -4.65368e-06   0.0024078   0.00219495   0.00704569   -0.00128597   0.0151193   -0.0192754   0.000129947   0.023501   -0.00421649   0.00988941   0.0444046   0.0469579   0.0207422   0.0256559   0.0822532   0.0306925   0.0689007   0.0693097   0.0449243   0.000228156   -0.059597   0.0420405   0.00781682   -0.000185669   -0.00140923   -0.00465171   0.00114077   -0.00796092   0.00295251   0.00378407   -0.00984214   0.00202796   -0.00916909   0.0112788   -2.10342e-07   0.000733072   -0.0323156   -0.0272618   -0.00817161   0.004077   1   
-0.000665562   -2.03205e-05   -4.1333e-05   -3.68703e-05   -4.43045e-05   -4.20556e-05   -4.59979e-05   -5.1795e-05   -5.03549e-05   0.00234019   0.00170524   -0.000496155   -0.00169972   -0.00161113   -0.00117595   7.59607e-05   0.00156419   0.00035623   -1.38049e-05   0.00101604   -0.00135956   -0.000640769   -0.000944943   -0.00114734   -0.000377571   0.00135873   0.00483509   -0.000160624   -3.66876e-05   0.000168355   0.000282171   0.000391553   0.00043984   0.000227282   4.85637e-05   -5.75804e-05   1.50898e-06   0.00167949   -0.000304332   0.00251053   -0.00161088   -0.000447431   -0.000825202   -0.00204633   -0.00822108   -0.00204754   -0.00107208   -0.000755687   0.000225704   -3.8465e-05   0.000306333   0.000243187   0.000183706   0.00247185   -3.67767e-06   0.00134175   -0.00200382   -0.000653377   -0.000716564   -0.000176827   0.000618608   0.000234278   0.00100734   -0.000388469   0.000332383   0.00170063   0.000263834   0.00135343   -0.00214555   0.000896192   -1.46704e-05   0.00304133   -0.000796325   0.000385102   -0.000111708   -0.000429988   -0.000691098   0.00140143   -1.33492e-05   -2.07981e-05   -0.00102866   0.00185569   1.60996e-06   -5.3212e-07   2.10721e-05   -3.6508e-05   -9.65242e-05   0.00137313   0.000912427   -0.00284044   -0.00122468   0.000242699   0.000475634   0.000700566   0.000675514   -0.00445574   -0.0140813   0.00346731   0.00193663   0.0031139   0.00377298   0.00230507   -0.0161799   0.00222046   4.98881e-05   3.96845e-06   -1.32715e-05   1.26055e-06   -3.67447e-07   -0.00113527   -5.53598e-06   3.64428e-06   -3.28741e-06   -0.000116643   -0.000448771   -0.000188123   -0.00209477   -0.00236735   8.53552e-05   3.54418e-07   0.00296831   0.00094051   -0.00029957   -0.00121184   -0.000786218   0.00492447   0.00344239   -0.00027728   0.0018093   -0.00163311   0.00466869   -0.00346409   1.27481e-06   -0.00276108   -0.00026959   -0.00101969   -4.00569e-06   0.000241221   0.00157474   -0.000231696   0.000755532   -0.000469236   -0.000680204   0.000445466   0.000643023   0.000268875   -0.000628537   9.46143e-09   2.13173e-06   -0.000663416   -0.000781053   0.000619781   1   0.004077   
